a_expected_label,a_prompt,b_expected_label,b_prompt,comparison_a,comparison_b,control_type,design,dimension,is_artificial_norm,is_borderline,pair_flipped,pair_id,pair_orientation_base_key,paraphrase,predicate_family,ratio_a,ratio_b,scale_type,source,standard_a,standard_b,standard_type,target,type,unit,value
huge,"If the normal body length for an ant is 1 centimeters, then 3 centimeters would best be called",tiny,"If the normal body length for a house mouse is 9 centimeters, then 3 centimeters would best be called",an ant,a house mouse,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,False,False,False,size-v1_3b-p0003-an_ant-vs-a_house_mouse,size-v1_3b-p0003-an_ant-vs-a_house_mouse,b,tiny_huge,3.0,0.3333333333333333,relative_open_size,bierwisch_kennedy_size_v1_3_b,1,9,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
huge,"If the normal body length for an ant is 1 centimeters, then 3 centimeters would best be called",tiny,"If the normal body length for a domestic cat is 46 centimeters, then 3 centimeters would best be called",an ant,a domestic cat,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,False,False,False,size-v1_3b-p0003-an_ant-vs-a_domestic_cat,size-v1_3b-p0003-an_ant-vs-a_domestic_cat,b,tiny_huge,3.0,0.06521739130434782,relative_open_size,bierwisch_kennedy_size_v1_3_b,1,46,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
huge,"If the normal body length for an ant is 1 centimeters, then 3 centimeters would best be called",tiny,"If the normal body length for a labrador dog is 60 centimeters, then 3 centimeters would best be called",an ant,a labrador dog,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,False,False,False,size-v1_3b-p0003-an_ant-vs-a_labrador_dog,size-v1_3b-p0003-an_ant-vs-a_labrador_dog,b,tiny_huge,3.0,0.05,relative_open_size,bierwisch_kennedy_size_v1_3_b,1,60,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
huge,"If the normal body length for an ant is 1 centimeters, then 3 centimeters would best be called",tiny,"If the normal body length for an adult human is 170 centimeters, then 3 centimeters would best be called",an ant,an adult human,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,False,False,False,size-v1_3b-p0003-an_ant-vs-an_adult_human,size-v1_3b-p0003-an_ant-vs-an_adult_human,b,tiny_huge,3.0,0.01764705882352941,relative_open_size,bierwisch_kennedy_size_v1_3_b,1,170,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
tiny,"If the normal body length for an african elephant is 350 centimeters, then 3 centimeters would best be called",huge,"If the normal body length for an ant is 1 centimeters, then 3 centimeters would best be called",an african elephant,an ant,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,False,False,True,size-v1_3b-p0003-an_african_elephant-vs-an_ant,size-v1_3b-p0003-an_ant-vs-an_african_elephant,b,tiny_huge,0.008571428571428572,3.0,relative_open_size,bierwisch_kennedy_size_v1_3_b,350,1,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
tiny,"If the normal body length for a domestic cat is 46 centimeters, then 8 centimeters would best be called",huge,"If the normal body length for an ant is 1 centimeters, then 8 centimeters would best be called",a domestic cat,an ant,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,False,False,True,size-v1_3b-p0008-a_domestic_cat-vs-an_ant,size-v1_3b-p0008-an_ant-vs-a_domestic_cat,b,tiny_huge,0.17391304347826086,8.0,relative_open_size,bierwisch_kennedy_size_v1_3_b,46,1,comparison_class_explicit,8 centimeters,gradable_scalar,centimeters,8
tiny,"If the normal body length for a labrador dog is 60 centimeters, then 8 centimeters would best be called",huge,"If the normal body length for an ant is 1 centimeters, then 8 centimeters would best be called",a labrador dog,an ant,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,False,False,True,size-v1_3b-p0008-a_labrador_dog-vs-an_ant,size-v1_3b-p0008-an_ant-vs-a_labrador_dog,b,tiny_huge,0.13333333333333333,8.0,relative_open_size,bierwisch_kennedy_size_v1_3_b,60,1,comparison_class_explicit,8 centimeters,gradable_scalar,centimeters,8
huge,"If the normal body length for an ant is 1 centimeters, then 8 centimeters would best be called",tiny,"If the normal body length for an adult human is 170 centimeters, then 8 centimeters would best be called",an ant,an adult human,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,False,False,False,size-v1_3b-p0008-an_ant-vs-an_adult_human,size-v1_3b-p0008-an_ant-vs-an_adult_human,b,tiny_huge,8.0,0.047058823529411764,relative_open_size,bierwisch_kennedy_size_v1_3_b,1,170,comparison_class_explicit,8 centimeters,gradable_scalar,centimeters,8
huge,"If the normal body length for an ant is 1 centimeters, then 8 centimeters would best be called",tiny,"If the normal body length for an african elephant is 350 centimeters, then 8 centimeters would best be called",an ant,an african elephant,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,False,False,False,size-v1_3b-p0008-an_ant-vs-an_african_elephant,size-v1_3b-p0008-an_ant-vs-an_african_elephant,b,tiny_huge,8.0,0.022857142857142857,relative_open_size,bierwisch_kennedy_size_v1_3_b,1,350,comparison_class_explicit,8 centimeters,gradable_scalar,centimeters,8
huge,"If the normal body length for an ant is 1 centimeters, then 15 centimeters would best be called",large,"If the normal body length for a house mouse is 9 centimeters, then 15 centimeters would best be called",an ant,a house mouse,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,False,False,False,size-v1_3b-p0015-an_ant-vs-a_house_mouse,size-v1_3b-p0015-an_ant-vs-a_house_mouse,b,tiny_huge,15.0,1.6666666666666667,relative_open_size,bierwisch_kennedy_size_v1_3_b,1,9,comparison_class_explicit,15 centimeters,gradable_scalar,centimeters,15
huge,"If the normal body length for an ant is 1 centimeters, then 15 centimeters would best be called",tiny,"If the normal body length for a domestic cat is 46 centimeters, then 15 centimeters would best be called",an ant,a domestic cat,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,False,False,False,size-v1_3b-p0015-an_ant-vs-a_domestic_cat,size-v1_3b-p0015-an_ant-vs-a_domestic_cat,b,tiny_huge,15.0,0.32608695652173914,relative_open_size,bierwisch_kennedy_size_v1_3_b,1,46,comparison_class_explicit,15 centimeters,gradable_scalar,centimeters,15
huge,"If the normal body length for an ant is 1 centimeters, then 15 centimeters would best be called",tiny,"If the normal body length for a labrador dog is 60 centimeters, then 15 centimeters would best be called",an ant,a labrador dog,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,False,False,False,size-v1_3b-p0015-an_ant-vs-a_labrador_dog,size-v1_3b-p0015-an_ant-vs-a_labrador_dog,b,tiny_huge,15.0,0.25,relative_open_size,bierwisch_kennedy_size_v1_3_b,1,60,comparison_class_explicit,15 centimeters,gradable_scalar,centimeters,15
huge,"If the normal body length for an ant is 1 centimeters, then 15 centimeters would best be called",tiny,"If the normal body length for an adult human is 170 centimeters, then 15 centimeters would best be called",an ant,an adult human,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,False,False,False,size-v1_3b-p0015-an_ant-vs-an_adult_human,size-v1_3b-p0015-an_ant-vs-an_adult_human,b,tiny_huge,15.0,0.08823529411764706,relative_open_size,bierwisch_kennedy_size_v1_3_b,1,170,comparison_class_explicit,15 centimeters,gradable_scalar,centimeters,15
tiny,"If the normal body length for an african elephant is 350 centimeters, then 15 centimeters would best be called",huge,"If the normal body length for an ant is 1 centimeters, then 15 centimeters would best be called",an african elephant,an ant,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,False,False,True,size-v1_3b-p0015-an_african_elephant-vs-an_ant,size-v1_3b-p0015-an_ant-vs-an_african_elephant,b,tiny_huge,0.04285714285714286,15.0,relative_open_size,bierwisch_kennedy_size_v1_3_b,350,1,comparison_class_explicit,15 centimeters,gradable_scalar,centimeters,15
