a_expected_label,a_prompt,b_expected_label,b_prompt,comparison_a,comparison_b,control_type,design,dimension,is_artificial_norm,is_borderline,pair_flipped,pair_id,pair_orientation_base_key,paraphrase,predicate_family,ratio_a,ratio_b,scale_type,source,standard_a,standard_b,standard_type,target,type,unit,value
old,"For a domestic mouse, a typical lifespan is 2 years. Relative to that 2-year reference, an individual aged 3 years is best described as",youthful,"For a domestic dog, a typical lifespan is 12 years. Relative to that 12-year reference, an individual aged 3 years is best described as",a domestic mouse,a domestic dog,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,False,False,False,age-v1_3a-p0003-a_domestic_mouse-vs-a_domestic_dog,age-v1_3a-p0003-a_domestic_mouse-vs-a_domestic_dog,a,young_old,1.5,0.25,relative_open_age,bierwisch_kennedy_age_v1_3_a,2,12,comparison_class_explicit,3 years,gradable_scalar,years,3
young,"For a horse, a typical lifespan is 28 years. Relative to that 28-year reference, an individual aged 3 years is best described as",old,"For a domestic mouse, a typical lifespan is 2 years. Relative to that 2-year reference, an individual aged 3 years is best described as",a horse,a domestic mouse,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,False,False,True,age-v1_3a-p0003-a_horse-vs-a_domestic_mouse,age-v1_3a-p0003-a_domestic_mouse-vs-a_horse,a,young_old,0.10714285714285714,1.5,relative_open_age,bierwisch_kennedy_age_v1_3_a,28,2,comparison_class_explicit,3 years,gradable_scalar,years,3
young,"For a human, a typical lifespan is 80 years. Relative to that 80-year reference, an individual aged 3 years is best described as",old,"For a domestic mouse, a typical lifespan is 2 years. Relative to that 2-year reference, an individual aged 3 years is best described as",a human,a domestic mouse,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,False,False,True,age-v1_3a-p0003-a_human-vs-a_domestic_mouse,age-v1_3a-p0003-a_domestic_mouse-vs-a_human,a,young_old,0.0375,1.5,relative_open_age,bierwisch_kennedy_age_v1_3_a,80,2,comparison_class_explicit,3 years,gradable_scalar,years,3
old,"For a domestic mouse, a typical lifespan is 2 years. Relative to that 2-year reference, an individual aged 3 years is best described as",young,"For a galapagos tortoise, a typical lifespan is 150 years. Relative to that 150-year reference, an individual aged 3 years is best described as",a domestic mouse,a galapagos tortoise,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,False,False,False,age-v1_3a-p0003-a_domestic_mouse-vs-a_galapagos_tortoise,age-v1_3a-p0003-a_domestic_mouse-vs-a_galapagos_tortoise,a,young_old,1.5,0.02,relative_open_age,bierwisch_kennedy_age_v1_3_a,2,150,comparison_class_explicit,3 years,gradable_scalar,years,3
old,"For a domestic mouse, a typical lifespan is 2 years. Relative to that 2-year reference, an individual aged 3 years is best described as",young,"For a bowhead whale, a typical lifespan is 200 years. Relative to that 200-year reference, an individual aged 3 years is best described as",a domestic mouse,a bowhead whale,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,False,False,False,age-v1_3a-p0003-a_domestic_mouse-vs-a_bowhead_whale,age-v1_3a-p0003-a_domestic_mouse-vs-a_bowhead_whale,a,young_old,1.5,0.015,relative_open_age,bierwisch_kennedy_age_v1_3_a,2,200,comparison_class_explicit,3 years,gradable_scalar,years,3
youthful,"For a domestic dog, a typical lifespan is 12 years. Relative to that 12-year reference, an individual aged 3 years is best described as",young,"For a horse, a typical lifespan is 28 years. Relative to that 28-year reference, an individual aged 3 years is best described as",a domestic dog,a horse,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,False,False,False,age-v1_3a-p0003-a_domestic_dog-vs-a_horse,age-v1_3a-p0003-a_domestic_dog-vs-a_horse,a,young_old,0.25,0.10714285714285714,relative_open_age,bierwisch_kennedy_age_v1_3_a,12,28,comparison_class_explicit,3 years,gradable_scalar,years,3
youthful,"For a domestic dog, a typical lifespan is 12 years. Relative to that 12-year reference, an individual aged 3 years is best described as",young,"For a human, a typical lifespan is 80 years. Relative to that 80-year reference, an individual aged 3 years is best described as",a domestic dog,a human,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,False,False,False,age-v1_3a-p0003-a_domestic_dog-vs-a_human,age-v1_3a-p0003-a_domestic_dog-vs-a_human,a,young_old,0.25,0.0375,relative_open_age,bierwisch_kennedy_age_v1_3_a,12,80,comparison_class_explicit,3 years,gradable_scalar,years,3
young,"For a galapagos tortoise, a typical lifespan is 150 years. Relative to that 150-year reference, an individual aged 3 years is best described as",youthful,"For a domestic dog, a typical lifespan is 12 years. Relative to that 12-year reference, an individual aged 3 years is best described as",a galapagos tortoise,a domestic dog,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,False,False,True,age-v1_3a-p0003-a_galapagos_tortoise-vs-a_domestic_dog,age-v1_3a-p0003-a_domestic_dog-vs-a_galapagos_tortoise,a,young_old,0.02,0.25,relative_open_age,bierwisch_kennedy_age_v1_3_a,150,12,comparison_class_explicit,3 years,gradable_scalar,years,3
young,"For a bowhead whale, a typical lifespan is 200 years. Relative to that 200-year reference, an individual aged 3 years is best described as",youthful,"For a domestic dog, a typical lifespan is 12 years. Relative to that 12-year reference, an individual aged 3 years is best described as",a bowhead whale,a domestic dog,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,False,False,True,age-v1_3a-p0003-a_bowhead_whale-vs-a_domestic_dog,age-v1_3a-p0003-a_domestic_dog-vs-a_bowhead_whale,a,young_old,0.015,0.25,relative_open_age,bierwisch_kennedy_age_v1_3_a,200,12,comparison_class_explicit,3 years,gradable_scalar,years,3
old,"For a domestic mouse, a typical lifespan is 2 years. Relative to that 2-year reference, an individual aged 6 years is best described as",youthful,"For a horse, a typical lifespan is 28 years. Relative to that 28-year reference, an individual aged 6 years is best described as",a domestic mouse,a horse,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,False,False,False,age-v1_3a-p0006-a_domestic_mouse-vs-a_horse,age-v1_3a-p0006-a_domestic_mouse-vs-a_horse,a,young_old,3.0,0.21428571428571427,relative_open_age,bierwisch_kennedy_age_v1_3_a,2,28,comparison_class_explicit,6 years,gradable_scalar,years,6
young,"For a human, a typical lifespan is 80 years. Relative to that 80-year reference, an individual aged 6 years is best described as",old,"For a domestic mouse, a typical lifespan is 2 years. Relative to that 2-year reference, an individual aged 6 years is best described as",a human,a domestic mouse,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,False,False,True,age-v1_3a-p0006-a_human-vs-a_domestic_mouse,age-v1_3a-p0006-a_domestic_mouse-vs-a_human,a,young_old,0.075,3.0,relative_open_age,bierwisch_kennedy_age_v1_3_a,80,2,comparison_class_explicit,6 years,gradable_scalar,years,6
