comparison_a,comparison_b,control_type,correct,design,dimension,entropy,expected_label,expected_label_index,is_artificial_norm,is_borderline,logscore_huge,logscore_large,logscore_small,logscore_tiny,margin,ordered_label_score,pair_id,pred_label,pred_label_index,predicate_family,prob_huge,prob_large,prob_small,prob_tiny,prompt,scale_type,side,source,standard_type,target,type,unit,value
ant-like objects in the toy lab,elephant-like objects in the toy lab,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,0.864333287032663,tiny,0.0,True,False,-10.455148696899414,-9.251514434814453,-7.711623668670654,-9.947442054748535,-2.235818386077881,1.1704512689847377,size-v2-artificial-p0025-ant_like_objects_in_the_toy_lab-vs-elephant_like_objects_in_the_toy_lab,small,1.0,tiny_huge,0.04643526888503438,0.15473183748579433,0.7216817873580457,0.07715110627112555,"The normal body length for ant-like objects in the toy lab is 300 centimeters. Compared only to that 300-centimeter baseline for ant-like objects in the toy lab, a body length of 25 centimeters feels",relative_open_size,a,bierwisch_kennedy_size_v2_artificial,comparison_class_explicit,25 centimeters,gradable_scalar,centimeters,25
ant-like objects in the toy lab,elephant-like objects in the toy lab,standard_explicit,1,size_v2_behavioral_lockin_same_value_different_standard,size,0.44960143581335466,small,1.0,True,False,-12.212858200073242,-10.618452072143555,-7.164339065551758,-9.504409790039062,2.3400707244873047,0.9542754887868298,size-v2-artificial-p0025-ant_like_objects_in_the_toy_lab-vs-elephant_like_objects_in_the_toy_lab,small,1.0,tiny_huge,0.005658574152507656,0.027870758921484506,0.8815582484863378,0.0849124184396701,"The normal body length for elephant-like objects in the toy lab is 30 centimeters. Compared only to that 30-centimeter baseline for elephant-like objects in the toy lab, a body length of 25 centimeters feels",relative_open_size,b,bierwisch_kennedy_size_v2_artificial,comparison_class_explicit,25 centimeters,gradable_scalar,centimeters,25
elephant-like objects in the toy lab,mouse-like objects in the toy lab,standard_explicit,1,size_v2_behavioral_lockin_same_value_different_standard,size,0.44960143581335466,small,1.0,True,False,-12.212858200073242,-10.618452072143555,-7.164339065551758,-9.504409790039062,2.3400707244873047,0.9542754887868298,size-v2-artificial-p0025-elephant_like_objects_in_the_toy_lab-vs-mouse_like_objects_in_the_toy_lab,small,1.0,tiny_huge,0.005658574152507656,0.027870758921484506,0.8815582484863378,0.0849124184396701,"The normal body length for elephant-like objects in the toy lab is 30 centimeters. Compared only to that 30-centimeter baseline for elephant-like objects in the toy lab, a body length of 25 centimeters feels",relative_open_size,a,bierwisch_kennedy_size_v2_artificial,comparison_class_explicit,25 centimeters,gradable_scalar,centimeters,25
elephant-like objects in the toy lab,mouse-like objects in the toy lab,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,0.8559252749396561,tiny,0.0,True,False,-11.341568946838379,-9.808241844177246,-8.500724792480469,-11.017918586730957,-2.5171937942504883,1.2174858835061486,size-v2-artificial-p0025-elephant_like_objects_in_the_toy_lab-vs-mouse_like_objects_in_the_toy_lab,small,1.0,tiny_huge,0.0414148102496173,0.1918983212670376,0.7094448102232214,0.05724205826012362,"The normal body length for mouse-like objects in the toy lab is 170 centimeters. Compared only to that 170-centimeter baseline for mouse-like objects in the toy lab, a body length of 25 centimeters feels",relative_open_size,b,bierwisch_kennedy_size_v2_artificial,comparison_class_explicit,25 centimeters,gradable_scalar,centimeters,25
elephant-like objects in the toy lab,human-like objects in the toy lab,standard_explicit,1,size_v2_behavioral_lockin_same_value_different_standard,size,0.44960143581335466,small,1.0,True,False,-12.212858200073242,-10.618452072143555,-7.164339065551758,-9.504409790039062,2.3400707244873047,0.9542754887868298,size-v2-artificial-p0025-elephant_like_objects_in_the_toy_lab-vs-human_like_objects_in_the_toy_lab,small,1.0,tiny_huge,0.005658574152507656,0.027870758921484506,0.8815582484863378,0.0849124184396701,"The normal body length for elephant-like objects in the toy lab is 30 centimeters. Compared only to that 30-centimeter baseline for elephant-like objects in the toy lab, a body length of 25 centimeters feels",relative_open_size,a,bierwisch_kennedy_size_v2_artificial,comparison_class_explicit,25 centimeters,gradable_scalar,centimeters,25
elephant-like objects in the toy lab,human-like objects in the toy lab,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,0.8304084368660526,tiny,0.0,True,False,-10.370523452758789,-8.09814453125,-6.748803615570068,-8.936040878295898,-2.18723726272583,1.143493861084575,size-v2-artificial-p0025-elephant_like_objects_in_the_toy_lab-vs-human_like_objects_in_the_toy_lab,small,1.0,tiny_huge,0.01911981366576487,0.18550912710698853,0.7151161658733033,0.08025489335394341,"The normal body length for human-like objects in the toy lab is 60 centimeters. Compared only to that 60-centimeter baseline for human-like objects in the toy lab, a body length of 25 centimeters feels",relative_open_size,b,bierwisch_kennedy_size_v2_artificial,comparison_class_explicit,25 centimeters,gradable_scalar,centimeters,25
human-like objects in the toy lab,ant-like objects in the toy lab,standard_explicit,1,size_v2_behavioral_lockin_same_value_different_standard,size,0.9153225123025838,small,1.0,True,False,-10.669462203979492,-7.879362106323242,-7.168854713439941,-9.390968322753906,0.7105073928833008,1.272015772200734,size-v2-artificial-p0040-human_like_objects_in_the_toy_lab-vs-ant_like_objects_in_the_toy_lab,small,1.0,tiny_huge,0.018515277725774992,0.30147777899775996,0.6135143810278887,0.06649256224857629,"The normal body length for human-like objects in the toy lab is 60 centimeters. Compared only to that 60-centimeter baseline for human-like objects in the toy lab, a body length of 40 centimeters feels",relative_open_size,a,bierwisch_kennedy_size_v2_artificial,comparison_class_explicit,40 centimeters,gradable_scalar,centimeters,40
human-like objects in the toy lab,ant-like objects in the toy lab,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,1.0124133903137085,tiny,0.0,True,False,-10.166560173034668,-8.762298583984375,-8.136723518371582,-10.717187881469727,-2.5804643630981445,1.414413499490538,size-v2-artificial-p0040-human_like_objects_in_the_toy_lab-vs-ant_like_objects_in_the_toy_lab,small,1.0,tiny_huge,0.07540369853929144,0.30708295263345226,0.5740364986057591,0.043476850221497144,"The normal body length for ant-like objects in the toy lab is 300 centimeters. Compared only to that 300-centimeter baseline for ant-like objects in the toy lab, a body length of 40 centimeters feels",relative_open_size,b,bierwisch_kennedy_size_v2_artificial,comparison_class_explicit,40 centimeters,gradable_scalar,centimeters,40
ant-like objects in the toy lab,elephant-like objects in the toy lab,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,1.0124133903137085,tiny,0.0,True,False,-10.166560173034668,-8.762298583984375,-8.136723518371582,-10.717187881469727,-2.5804643630981445,1.414413499490538,size-v2-artificial-p0040-ant_like_objects_in_the_toy_lab-vs-elephant_like_objects_in_the_toy_lab,small,1.0,tiny_huge,0.07540369853929144,0.30708295263345226,0.5740364986057591,0.043476850221497144,"The normal body length for ant-like objects in the toy lab is 300 centimeters. Compared only to that 300-centimeter baseline for ant-like objects in the toy lab, a body length of 40 centimeters feels",relative_open_size,a,bierwisch_kennedy_size_v2_artificial,comparison_class_explicit,40 centimeters,gradable_scalar,centimeters,40
ant-like objects in the toy lab,elephant-like objects in the toy lab,standard_explicit,0,size_v2_behavioral_lockin_same_value_different_standard,size,1.1273265790437998,large,2.0,True,False,-10.708175659179688,-9.291001319885254,-9.222260475158691,-11.181671142578125,-0.0687408447265625,1.541209409598799,size-v2-artificial-p0040-ant_like_objects_in_the_toy_lab-vs-elephant_like_objects_in_the_toy_lab,small,1.0,tiny_huge,0.09835476083126345,0.4057573374837269,0.4346304521375547,0.06125744954745498,"The normal body length for elephant-like objects in the toy lab is 30 centimeters. Compared only to that 30-centimeter baseline for elephant-like objects in the toy lab, a body length of 40 centimeters feels",relative_open_size,b,bierwisch_kennedy_size_v2_artificial,comparison_class_explicit,40 centimeters,gradable_scalar,centimeters,40
