comparison_a,comparison_b,control_type,correct,design,dimension,entropy,expected_label,expected_label_index,is_artificial_norm,is_borderline,logscore_cold,logscore_cool,logscore_hot,logscore_warm,margin,ordered_label_score,pair_id,pred_label,pred_label_index,predicate_family,prob_cold,prob_cool,prob_hot,prob_warm,prompt,scale_type,side,source,standard_type,target,type,unit,value
room air,freezer air,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,0.8754492707710567,cold,0.0,False,False,-6.962534427642822,-9.499494552612305,-8.405481338500977,-9.407464981079102,1.4429469108581543,0.6856027762000316,temp-v1_3b-m030-room_air-vs-freezer_air,cold,0.0,warm_cold,0.7132315336456856,0.05642125641844075,0.1684870999098435,0.061860110026030216,"If the normal temperature for room air is 21 degrees Celsius, then -30 degrees Celsius would best be called",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_3_b,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,Celsius,-30
room air,freezer air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,0.7615033356361695,cool,1.0,False,False,-7.13008975982666,-10.172165870666504,-9.154147148132324,-9.345442771911621,-3.0420761108398438,0.513837513457456,temp-v1_3b-m030-room_air-vs-freezer_air,cold,0.0,warm_cold,0.7758138533553326,0.037034003379548125,0.10249922354766934,0.0846529197174499,"If the normal temperature for freezer air is -18 degrees Celsius, then -30 degrees Celsius would best be called",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_3_b,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,Celsius,-30
swimming-pool water,freezer air,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,1.0252834120718117,cold,0.0,False,False,-8.118127822875977,-10.58079719543457,-9.337282180786133,-9.703814506530762,1.2191543579101562,0.8711865202106515,temp-v1_3b-m030-swimming_pool_water-vs-freezer_air,cold,0.0,warm_cold,0.6307181554200971,0.053741726352780746,0.1863645574036265,0.12917556082349563,"If the normal temperature for swimming-pool water is 27 degrees Celsius, then -30 degrees Celsius would best be called",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_3_b,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,Celsius,-30
swimming-pool water,freezer air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,0.7615033356361695,cool,1.0,False,False,-7.13008975982666,-10.172165870666504,-9.154147148132324,-9.345442771911621,-3.0420761108398438,0.513837513457456,temp-v1_3b-m030-swimming_pool_water-vs-freezer_air,cold,0.0,warm_cold,0.7758138533553326,0.037034003379548125,0.10249922354766934,0.0846529197174499,"If the normal temperature for freezer air is -18 degrees Celsius, then -30 degrees Celsius would best be called",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_3_b,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,Celsius,-30
bath water,freezer air,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,0.9985873934153311,cold,0.0,False,False,-7.924083709716797,-10.507697105407715,-8.381574630737305,-10.125694274902344,0.4574909210205078,1.2069076449049954,temp-v1_3b-m030-bath_water-vs-freezer_air,cold,0.0,warm_cold,0.5497540868846619,0.04150681654292552,0.3479226352172446,0.06081646135516803,"If the normal temperature for bath water is 38 degrees Celsius, then -30 degrees Celsius would best be called",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_3_b,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,Celsius,-30
bath water,freezer air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,0.7615033356361695,cool,1.0,False,False,-7.13008975982666,-10.172165870666504,-9.154147148132324,-9.345442771911621,-3.0420761108398438,0.513837513457456,temp-v1_3b-m030-bath_water-vs-freezer_air,cold,0.0,warm_cold,0.7758138533553326,0.037034003379548125,0.10249922354766934,0.0846529197174499,"If the normal temperature for freezer air is -18 degrees Celsius, then -30 degrees Celsius would best be called",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_3_b,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,Celsius,-30
freezer air,freshly served tea,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,0.7615033356361695,cool,1.0,False,False,-7.13008975982666,-10.172165870666504,-9.154147148132324,-9.345442771911621,-3.0420761108398438,0.513837513457456,temp-v1_3b-m030-freezer_air-vs-freshly_served_tea,cold,0.0,warm_cold,0.7758138533553326,0.037034003379548125,0.10249922354766934,0.0846529197174499,"If the normal temperature for freezer air is -18 degrees Celsius, then -30 degrees Celsius would best be called",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_3_b,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,Celsius,-30
freezer air,freshly served tea,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,0.8003907122990073,cold,0.0,False,False,-8.21641731262207,-10.452288627624512,-7.368398666381836,-11.101849555969238,-0.8480186462402344,2.0652182484442414,temp-v1_3b-m030-freezer_air-vs-freshly_served_tea,hot,3.0,warm_cold,0.28589845563796146,0.030562243744296422,0.6675774034644603,0.015961897153281744,"If the normal temperature for freshly served tea is 80 degrees Celsius, then -30 degrees Celsius would best be called",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_3_b,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,Celsius,-30
freezer air,heated oven air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,0.7615033356361695,cool,1.0,False,False,-7.13008975982666,-10.172165870666504,-9.154147148132324,-9.345442771911621,-3.0420761108398438,0.513837513457456,temp-v1_3b-m030-freezer_air-vs-heated_oven_air,cold,0.0,warm_cold,0.7758138533553326,0.037034003379548125,0.10249922354766934,0.0846529197174499,"If the normal temperature for freezer air is -18 degrees Celsius, then -30 degrees Celsius would best be called",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_3_b,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,Celsius,-30
freezer air,heated oven air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,0.559612703645705,cold,0.0,False,False,-7.399492263793945,-10.081348419189453,-5.527442932128906,-8.880247116088867,-1.872049331665039,2.5685368115267164,temp-v1_3b-m030-freezer_air-vs-heated_oven_air,hot,3.0,warm_cold,0.12824609077566546,0.008776650535776715,0.8338056436138244,0.02917161507473364,"If the normal temperature for heated oven air is 180 degrees Celsius, then -30 degrees Celsius would best be called",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_3_b,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,Celsius,-30
