a_expected_label,a_prompt,b_expected_label,b_prompt,comparison_a,comparison_b,context_type,control_type,design,dimension,has_semantic_scaffold,is_artificial_norm,is_borderline,is_counter_natural,label_order,log_ratio_a,log_ratio_b,pair_flipped,pair_id,pair_orientation_base_key,predicate_family,ratio_a,ratio_b,ratio_bucket_a,ratio_bucket_b,readout_family,regime,scale_type,source,standard_a,standard_b,standard_type,target,type,unit,value
tiny,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type B dax rods is 9 centimeters. Compared only to that 9-centimeter length standard for Type B dax rods, an overall length of 3 centimeters counts as",huge,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type A dax rods is 1 centimeter. Compared only to that 1-centimeter length standard for Type A dax rods, an overall length of 3 centimeters counts as",Type B dax rods,Type A dax rods,fictional_semantic_scaffold,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,False,"tiny,small,large,huge",-1.0986122886681098,1.0986122886681098,True,size-v2-fictional_semantic-p0003-Type_B_dax_rods-vs-Type_A_dax_rods,size-v2-fictional_semantic-adjective_counts-p0003-Type_A_dax_rods-vs-Type_B_dax_rods,adjective_counts,0.3333333333333333,3.0,0.333333,3,adjective_counts,fictional_semantic,relative_open_size,bierwisch_kennedy_size_v2_fictional_semantic,9,1,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
tiny,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type C dax rods is 46 centimeters. Compared only to that 46-centimeter length standard for Type C dax rods, an overall length of 3 centimeters counts as",huge,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type A dax rods is 1 centimeter. Compared only to that 1-centimeter length standard for Type A dax rods, an overall length of 3 centimeters counts as",Type C dax rods,Type A dax rods,fictional_semantic_scaffold,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,False,"tiny,small,large,huge",-2.7300291078209855,1.0986122886681098,True,size-v2-fictional_semantic-p0003-Type_C_dax_rods-vs-Type_A_dax_rods,size-v2-fictional_semantic-adjective_counts-p0003-Type_A_dax_rods-vs-Type_C_dax_rods,adjective_counts,0.06521739130434782,3.0,0.0652174,3,adjective_counts,fictional_semantic,relative_open_size,bierwisch_kennedy_size_v2_fictional_semantic,46,1,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
huge,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type A dax rods is 1 centimeter. Compared only to that 1-centimeter length standard for Type A dax rods, an overall length of 3 centimeters counts as",tiny,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type D dax rods is 60 centimeters. Compared only to that 60-centimeter length standard for Type D dax rods, an overall length of 3 centimeters counts as",Type A dax rods,Type D dax rods,fictional_semantic_scaffold,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,False,"tiny,small,large,huge",1.0986122886681098,-2.995732273553991,False,size-v2-fictional_semantic-p0003-Type_A_dax_rods-vs-Type_D_dax_rods,size-v2-fictional_semantic-adjective_counts-p0003-Type_A_dax_rods-vs-Type_D_dax_rods,adjective_counts,3.0,0.05,3,0.05,adjective_counts,fictional_semantic,relative_open_size,bierwisch_kennedy_size_v2_fictional_semantic,1,60,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
tiny,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type E dax rods is 170 centimeters. Compared only to that 170-centimeter length standard for Type E dax rods, an overall length of 3 centimeters counts as",huge,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type A dax rods is 1 centimeter. Compared only to that 1-centimeter length standard for Type A dax rods, an overall length of 3 centimeters counts as",Type E dax rods,Type A dax rods,fictional_semantic_scaffold,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,False,"tiny,small,large,huge",-4.037186148382152,1.0986122886681098,True,size-v2-fictional_semantic-p0003-Type_E_dax_rods-vs-Type_A_dax_rods,size-v2-fictional_semantic-adjective_counts-p0003-Type_A_dax_rods-vs-Type_E_dax_rods,adjective_counts,0.01764705882352941,3.0,0.0176471,3,adjective_counts,fictional_semantic,relative_open_size,bierwisch_kennedy_size_v2_fictional_semantic,170,1,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
tiny,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type F dax rods is 350 centimeters. Compared only to that 350-centimeter length standard for Type F dax rods, an overall length of 3 centimeters counts as",huge,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type A dax rods is 1 centimeter. Compared only to that 1-centimeter length standard for Type A dax rods, an overall length of 3 centimeters counts as",Type F dax rods,Type A dax rods,fictional_semantic_scaffold,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,False,"tiny,small,large,huge",-4.75932086581535,1.0986122886681098,True,size-v2-fictional_semantic-p0003-Type_F_dax_rods-vs-Type_A_dax_rods,size-v2-fictional_semantic-adjective_counts-p0003-Type_A_dax_rods-vs-Type_F_dax_rods,adjective_counts,0.008571428571428572,3.0,0.00857143,3,adjective_counts,fictional_semantic,relative_open_size,bierwisch_kennedy_size_v2_fictional_semantic,350,1,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
huge,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type A dax rods is 1 centimeter. Compared only to that 1-centimeter length standard for Type A dax rods, an overall length of 8 centimeters counts as",tiny,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type C dax rods is 46 centimeters. Compared only to that 46-centimeter length standard for Type C dax rods, an overall length of 8 centimeters counts as",Type A dax rods,Type C dax rods,fictional_semantic_scaffold,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,False,"tiny,small,large,huge",2.0794415416798357,-1.749199854809259,False,size-v2-fictional_semantic-p0008-Type_A_dax_rods-vs-Type_C_dax_rods,size-v2-fictional_semantic-adjective_counts-p0008-Type_A_dax_rods-vs-Type_C_dax_rods,adjective_counts,8.0,0.17391304347826086,8,0.173913,adjective_counts,fictional_semantic,relative_open_size,bierwisch_kennedy_size_v2_fictional_semantic,1,46,comparison_class_explicit,8 centimeters,gradable_scalar,centimeters,8
huge,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type A dax rods is 1 centimeter. Compared only to that 1-centimeter length standard for Type A dax rods, an overall length of 8 centimeters counts as",tiny,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type D dax rods is 60 centimeters. Compared only to that 60-centimeter length standard for Type D dax rods, an overall length of 8 centimeters counts as",Type A dax rods,Type D dax rods,fictional_semantic_scaffold,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,False,"tiny,small,large,huge",2.0794415416798357,-2.0149030205422647,False,size-v2-fictional_semantic-p0008-Type_A_dax_rods-vs-Type_D_dax_rods,size-v2-fictional_semantic-adjective_counts-p0008-Type_A_dax_rods-vs-Type_D_dax_rods,adjective_counts,8.0,0.13333333333333333,8,0.133333,adjective_counts,fictional_semantic,relative_open_size,bierwisch_kennedy_size_v2_fictional_semantic,1,60,comparison_class_explicit,8 centimeters,gradable_scalar,centimeters,8
huge,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type A dax rods is 1 centimeter. Compared only to that 1-centimeter length standard for Type A dax rods, an overall length of 8 centimeters counts as",tiny,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type E dax rods is 170 centimeters. Compared only to that 170-centimeter length standard for Type E dax rods, an overall length of 8 centimeters counts as",Type A dax rods,Type E dax rods,fictional_semantic_scaffold,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,False,"tiny,small,large,huge",2.0794415416798357,-3.056356895370426,False,size-v2-fictional_semantic-p0008-Type_A_dax_rods-vs-Type_E_dax_rods,size-v2-fictional_semantic-adjective_counts-p0008-Type_A_dax_rods-vs-Type_E_dax_rods,adjective_counts,8.0,0.047058823529411764,8,0.0470588,adjective_counts,fictional_semantic,relative_open_size,bierwisch_kennedy_size_v2_fictional_semantic,1,170,comparison_class_explicit,8 centimeters,gradable_scalar,centimeters,8
tiny,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type F dax rods is 350 centimeters. Compared only to that 350-centimeter length standard for Type F dax rods, an overall length of 8 centimeters counts as",huge,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type A dax rods is 1 centimeter. Compared only to that 1-centimeter length standard for Type A dax rods, an overall length of 8 centimeters counts as",Type F dax rods,Type A dax rods,fictional_semantic_scaffold,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,False,"tiny,small,large,huge",-3.7784916128036232,2.0794415416798357,True,size-v2-fictional_semantic-p0008-Type_F_dax_rods-vs-Type_A_dax_rods,size-v2-fictional_semantic-adjective_counts-p0008-Type_A_dax_rods-vs-Type_F_dax_rods,adjective_counts,0.022857142857142857,8.0,0.0228571,8,adjective_counts,fictional_semantic,relative_open_size,bierwisch_kennedy_size_v2_fictional_semantic,350,1,comparison_class_explicit,8 centimeters,gradable_scalar,centimeters,8
large,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type B dax rods is 9 centimeters. Compared only to that 9-centimeter length standard for Type B dax rods, an overall length of 15 centimeters counts as",huge,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type A dax rods is 1 centimeter. Compared only to that 1-centimeter length standard for Type A dax rods, an overall length of 15 centimeters counts as",Type B dax rods,Type A dax rods,fictional_semantic_scaffold,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,False,"tiny,small,large,huge",0.5108256237659907,2.70805020110221,True,size-v2-fictional_semantic-p0015-Type_B_dax_rods-vs-Type_A_dax_rods,size-v2-fictional_semantic-adjective_counts-p0015-Type_A_dax_rods-vs-Type_B_dax_rods,adjective_counts,1.6666666666666667,15.0,1.66667,15,adjective_counts,fictional_semantic,relative_open_size,bierwisch_kennedy_size_v2_fictional_semantic,9,1,comparison_class_explicit,15 centimeters,gradable_scalar,centimeters,15
