a_expected_label,a_prompt,b_expected_label,b_prompt,comparison_a,comparison_b,control_type,design,dimension,is_artificial_norm,is_borderline,pair_flipped,pair_id,pair_orientation_base_key,paraphrase,predicate_family,ratio_a,ratio_b,scale_type,source,standard_a,standard_b,standard_type,target,type,unit,value
old,"For a domestic mouse, normal is 2 years. Compared to that, 3 years is",youthful,"For a domestic dog, normal is 12 years. Compared to that, 3 years is",a domestic mouse,a domestic dog,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,False,False,False,age-v1_3c-p0003-a_domestic_mouse-vs-a_domestic_dog,age-v1_3c-p0003-a_domestic_mouse-vs-a_domestic_dog,c,young_old,1.5,0.25,relative_open_age,bierwisch_kennedy_age_v1_3_c,2,12,comparison_class_explicit,3 years,gradable_scalar,years,3
old,"For a domestic mouse, normal is 2 years. Compared to that, 3 years is",young,"For a horse, normal is 28 years. Compared to that, 3 years is",a domestic mouse,a horse,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,False,False,False,age-v1_3c-p0003-a_domestic_mouse-vs-a_horse,age-v1_3c-p0003-a_domestic_mouse-vs-a_horse,c,young_old,1.5,0.10714285714285714,relative_open_age,bierwisch_kennedy_age_v1_3_c,2,28,comparison_class_explicit,3 years,gradable_scalar,years,3
young,"For a human, normal is 80 years. Compared to that, 3 years is",old,"For a domestic mouse, normal is 2 years. Compared to that, 3 years is",a human,a domestic mouse,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,False,False,True,age-v1_3c-p0003-a_human-vs-a_domestic_mouse,age-v1_3c-p0003-a_domestic_mouse-vs-a_human,c,young_old,0.0375,1.5,relative_open_age,bierwisch_kennedy_age_v1_3_c,80,2,comparison_class_explicit,3 years,gradable_scalar,years,3
old,"For a domestic mouse, normal is 2 years. Compared to that, 3 years is",young,"For a galapagos tortoise, normal is 150 years. Compared to that, 3 years is",a domestic mouse,a galapagos tortoise,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,False,False,False,age-v1_3c-p0003-a_domestic_mouse-vs-a_galapagos_tortoise,age-v1_3c-p0003-a_domestic_mouse-vs-a_galapagos_tortoise,c,young_old,1.5,0.02,relative_open_age,bierwisch_kennedy_age_v1_3_c,2,150,comparison_class_explicit,3 years,gradable_scalar,years,3
young,"For a bowhead whale, normal is 200 years. Compared to that, 3 years is",old,"For a domestic mouse, normal is 2 years. Compared to that, 3 years is",a bowhead whale,a domestic mouse,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,False,False,True,age-v1_3c-p0003-a_bowhead_whale-vs-a_domestic_mouse,age-v1_3c-p0003-a_domestic_mouse-vs-a_bowhead_whale,c,young_old,0.015,1.5,relative_open_age,bierwisch_kennedy_age_v1_3_c,200,2,comparison_class_explicit,3 years,gradable_scalar,years,3
youthful,"For a domestic dog, normal is 12 years. Compared to that, 3 years is",young,"For a horse, normal is 28 years. Compared to that, 3 years is",a domestic dog,a horse,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,False,False,False,age-v1_3c-p0003-a_domestic_dog-vs-a_horse,age-v1_3c-p0003-a_domestic_dog-vs-a_horse,c,young_old,0.25,0.10714285714285714,relative_open_age,bierwisch_kennedy_age_v1_3_c,12,28,comparison_class_explicit,3 years,gradable_scalar,years,3
youthful,"For a domestic dog, normal is 12 years. Compared to that, 3 years is",young,"For a human, normal is 80 years. Compared to that, 3 years is",a domestic dog,a human,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,False,False,False,age-v1_3c-p0003-a_domestic_dog-vs-a_human,age-v1_3c-p0003-a_domestic_dog-vs-a_human,c,young_old,0.25,0.0375,relative_open_age,bierwisch_kennedy_age_v1_3_c,12,80,comparison_class_explicit,3 years,gradable_scalar,years,3
young,"For a galapagos tortoise, normal is 150 years. Compared to that, 3 years is",youthful,"For a domestic dog, normal is 12 years. Compared to that, 3 years is",a galapagos tortoise,a domestic dog,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,False,False,True,age-v1_3c-p0003-a_galapagos_tortoise-vs-a_domestic_dog,age-v1_3c-p0003-a_domestic_dog-vs-a_galapagos_tortoise,c,young_old,0.02,0.25,relative_open_age,bierwisch_kennedy_age_v1_3_c,150,12,comparison_class_explicit,3 years,gradable_scalar,years,3
youthful,"For a domestic dog, normal is 12 years. Compared to that, 3 years is",young,"For a bowhead whale, normal is 200 years. Compared to that, 3 years is",a domestic dog,a bowhead whale,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,False,False,False,age-v1_3c-p0003-a_domestic_dog-vs-a_bowhead_whale,age-v1_3c-p0003-a_domestic_dog-vs-a_bowhead_whale,c,young_old,0.25,0.015,relative_open_age,bierwisch_kennedy_age_v1_3_c,12,200,comparison_class_explicit,3 years,gradable_scalar,years,3
old,"For a domestic mouse, normal is 2 years. Compared to that, 6 years is",youthful,"For a horse, normal is 28 years. Compared to that, 6 years is",a domestic mouse,a horse,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,False,False,False,age-v1_3c-p0006-a_domestic_mouse-vs-a_horse,age-v1_3c-p0006-a_domestic_mouse-vs-a_horse,c,young_old,3.0,0.21428571428571427,relative_open_age,bierwisch_kennedy_age_v1_3_c,2,28,comparison_class_explicit,6 years,gradable_scalar,years,6
