comparison_a,comparison_b,control_type,correct,design,dimension,entropy,expected_label,expected_label_index,is_artificial_norm,is_borderline,logscore_huge,logscore_large,logscore_small,logscore_tiny,margin,ordered_label_score,pair_id,pred_label,pred_label_index,predicate_family,prob_huge,prob_large,prob_small,prob_tiny,prompt,scale_type,side,source,standard_type,target,type,unit,value
an ant,a house mouse,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,0.7362317488687451,huge,3.0,False,False,-16.601898193359375,-13.668400764465332,-12.365128517150879,-15.130784034729004,-4.236769676208496,1.176137637379691,size-v1_3a-p0003-an_ant-vs-a_house_mouse,small,1.0,tiny_huge,0.01071451557280327,0.20136050255078644,0.7412730855597083,0.04665189631670213,"For an ant, a typical body length is 1 centimeters. Relative to that 1-centimeter reference, a body length of 3 centimeters is best described as",relative_open_size,a,bierwisch_kennedy_size_v1_3_a,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
an ant,a house mouse,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,0.6025867158497518,tiny,0.0,False,False,-14.900591850280762,-10.298648834228516,-9.053007125854492,-13.248647689819336,-4.195640563964844,1.2132709990259771,size-v1_3a-p0003-an_ant-vs-a_house_mouse,small,1.0,tiny_huge,0.0022109628115209706,0.2203839159606517,0.7658702786701106,0.011534842557716703,"For a house mouse, a typical body length is 9 centimeters. Relative to that 9-centimeter reference, a body length of 3 centimeters is best described as",relative_open_size,b,bierwisch_kennedy_size_v1_3_a,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
a domestic cat,an ant,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,0.4873928468507467,tiny,0.0,False,False,-17.08579444885254,-13.132790565490723,-11.214935302734375,-14.991991996765137,-3.7770566940307617,1.1105825616594531,size-v1_3a-p0003-a_domestic_cat-vs-an_ant,small,1.0,tiny_huge,0.002405229229799401,0.12529226099946952,0.8527823519711158,0.019520157799615277,"For a domestic cat, a typical body length is 46 centimeters. Relative to that 46-centimeter reference, a body length of 3 centimeters is best described as",relative_open_size,a,bierwisch_kennedy_size_v1_3_a,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
a domestic cat,an ant,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,0.7362317488687451,huge,3.0,False,False,-16.601898193359375,-13.668400764465332,-12.365128517150879,-15.130784034729004,-4.236769676208496,1.176137637379691,size-v1_3a-p0003-a_domestic_cat-vs-an_ant,small,1.0,tiny_huge,0.01071451557280327,0.20136050255078644,0.7412730855597083,0.04665189631670213,"For an ant, a typical body length is 1 centimeters. Relative to that 1-centimeter reference, a body length of 3 centimeters is best described as",relative_open_size,b,bierwisch_kennedy_size_v1_3_a,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
an ant,a labrador dog,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,0.7362317488687451,huge,3.0,False,False,-16.601898193359375,-13.668400764465332,-12.365128517150879,-15.130784034729004,-4.236769676208496,1.176137637379691,size-v1_3a-p0003-an_ant-vs-a_labrador_dog,small,1.0,tiny_huge,0.01071451557280327,0.20136050255078644,0.7412730855597083,0.04665189631670213,"For an ant, a typical body length is 1 centimeters. Relative to that 1-centimeter reference, a body length of 3 centimeters is best described as",relative_open_size,a,bierwisch_kennedy_size_v1_3_a,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
an ant,a labrador dog,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,0.43923968803978586,tiny,0.0,False,False,-15.351391792297363,-11.923773765563965,-9.7787504196167,-13.687516212463379,-3.9087657928466797,1.0916803143326514,size-v1_3a-p0003-an_ant-vs-a_labrador_dog,small,1.0,tiny_huge,0.003330989227415717,0.10260507053150891,0.8764772055873865,0.017586734653688995,"For a labrador dog, a typical body length is 60 centimeters. Relative to that 60-centimeter reference, a body length of 3 centimeters is best described as",relative_open_size,b,bierwisch_kennedy_size_v1_3_a,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
an adult human,an ant,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,0.4728310405158962,tiny,0.0,False,False,-16.228271484375,-11.9014310836792,-10.074943542480469,-14.384584426879883,-4.309640884399414,1.1290156383006624,size-v1_3a-p0003-an_adult_human-vs-an_ant,small,1.0,tiny_huge,0.0018073235562504502,0.13682290883552864,0.8499478499608539,0.011421917647367058,"For an adult human, a typical body length is 170 centimeters. Relative to that 170-centimeter reference, a body length of 3 centimeters is best described as",relative_open_size,a,bierwisch_kennedy_size_v1_3_a,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
an adult human,an ant,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,0.7362317488687451,huge,3.0,False,False,-16.601898193359375,-13.668400764465332,-12.365128517150879,-15.130784034729004,-4.236769676208496,1.176137637379691,size-v1_3a-p0003-an_adult_human-vs-an_ant,small,1.0,tiny_huge,0.01071451557280327,0.20136050255078644,0.7412730855597083,0.04665189631670213,"For an ant, a typical body length is 1 centimeters. Relative to that 1-centimeter reference, a body length of 3 centimeters is best described as",relative_open_size,b,bierwisch_kennedy_size_v1_3_a,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
an african elephant,an ant,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,0.5594292644122739,tiny,0.0,False,False,-15.862312316894531,-11.980819702148438,-10.336420059204102,-13.946494102478027,-3.610074043273926,1.1421735459322622,size-v1_3a-p0003-an_african_elephant-vs-an_ant,small,1.0,tiny_huge,0.0032530974716443502,0.15776399682932263,0.8168862598586839,0.022096645840349156,"For an african elephant, a typical body length is 350 centimeters. Relative to that 350-centimeter reference, a body length of 3 centimeters is best described as",relative_open_size,a,bierwisch_kennedy_size_v1_3_a,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
an african elephant,an ant,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,0.7362317488687451,huge,3.0,False,False,-16.601898193359375,-13.668400764465332,-12.365128517150879,-15.130784034729004,-4.236769676208496,1.176137637379691,size-v1_3a-p0003-an_african_elephant-vs-an_ant,small,1.0,tiny_huge,0.01071451557280327,0.20136050255078644,0.7412730855597083,0.04665189631670213,"For an ant, a typical body length is 1 centimeters. Relative to that 1-centimeter reference, a body length of 3 centimeters is best described as",relative_open_size,b,bierwisch_kennedy_size_v1_3_a,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
a domestic cat,an ant,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,0.3855775106951656,tiny,0.0,False,False,-17.346607208251953,-13.468100547790527,-11.107210159301758,-15.097270965576172,-3.990060806274414,1.0715291341167459,size-v1_3a-p0008-a_domestic_cat-vs-an_ant,small,1.0,tiny_huge,0.0017501402744824154,0.0846227042225166,0.8970333048482656,0.016593850654735384,"For a domestic cat, a typical body length is 46 centimeters. Relative to that 46-centimeter reference, a body length of 8 centimeters is best described as",relative_open_size,a,bierwisch_kennedy_size_v1_3_a,comparison_class_explicit,8 centimeters,gradable_scalar,centimeters,8
a domestic cat,an ant,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,0.6470031824163422,huge,3.0,False,False,-16.65860939025879,-13.75994873046875,-12.16269588470459,-15.169240951538086,-4.495913505554199,1.1387878774391642,size-v1_3a-p0008-a_domestic_cat-vs-an_ant,small,1.0,tiny_huge,0.008831258701314074,0.1602857584443911,0.79172258444644,0.03916039840785496,"For an ant, a typical body length is 1 centimeters. Relative to that 1-centimeter reference, a body length of 8 centimeters is best described as",relative_open_size,b,bierwisch_kennedy_size_v1_3_a,comparison_class_explicit,8 centimeters,gradable_scalar,centimeters,8
a labrador dog,an ant,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,0.4415513614588284,tiny,0.0,False,False,-15.501883506774902,-12.026735305786133,-9.935445785522461,-13.977568626403809,-4.042122840881348,1.0992353524332992,size-v1_3a-p0008-a_labrador_dog-vs-an_ant,small,1.0,tiny_huge,0.0033400634402729473,0.1078927849279502,0.8734295922565801,0.015337559375196833,"For a labrador dog, a typical body length is 60 centimeters. Relative to that 60-centimeter reference, a body length of 8 centimeters is best described as",relative_open_size,a,bierwisch_kennedy_size_v1_3_a,comparison_class_explicit,8 centimeters,gradable_scalar,centimeters,8
a labrador dog,an ant,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,0.6470031824163422,huge,3.0,False,False,-16.65860939025879,-13.75994873046875,-12.16269588470459,-15.169240951538086,-4.495913505554199,1.1387878774391642,size-v1_3a-p0008-a_labrador_dog-vs-an_ant,small,1.0,tiny_huge,0.008831258701314074,0.1602857584443911,0.79172258444644,0.03916039840785496,"For an ant, a typical body length is 1 centimeters. Relative to that 1-centimeter reference, a body length of 8 centimeters is best described as",relative_open_size,b,bierwisch_kennedy_size_v1_3_a,comparison_class_explicit,8 centimeters,gradable_scalar,centimeters,8
