comparison_a,comparison_b,control_type,correct,design,dimension,entropy,expected_label,expected_label_index,is_artificial_norm,is_borderline,logscore_huge,logscore_large,logscore_small,logscore_tiny,margin,ordered_label_score,pair_id,pred_label,pred_label_index,predicate_family,prob_huge,prob_large,prob_small,prob_tiny,prompt,scale_type,side,source,standard_type,target,type,unit,value
an ant,a house mouse,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,0.8836458148109435,huge,3.0,False,False,-14.530207633972168,-10.171531677246094,-9.865212440490723,-12.166866302490234,-4.664995193481445,1.3548300141888074,size-v1_3b-p0003-an_ant-vs-a_house_mouse,small,1.0,tiny_huge,0.00510347133465763,0.3988545917527062,0.5418104166794223,0.054231520233213946,"If the normal body length for an ant is 1 centimeters, then 3 centimeters would best be called",relative_open_size,a,bierwisch_kennedy_size_v1_3_b,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
an ant,a house mouse,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,0.5555478370086879,tiny,0.0,False,False,-16.97182846069336,-12.753596305847168,-10.939021110534668,-14.108696937561035,-3.169675827026367,1.1041041833245602,size-v1_3b-p0003-an_ant-vs-a_house_mouse,small,1.0,tiny_huge,0.001986833893804335,0.1349324817908367,0.8282787180614737,0.034801966253885305,"If the normal body length for a house mouse is 9 centimeters, then 3 centimeters would best be called",relative_open_size,b,bierwisch_kennedy_size_v1_3_b,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
an ant,a domestic cat,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,0.8836458148109435,huge,3.0,False,False,-14.530207633972168,-10.171531677246094,-9.865212440490723,-12.166866302490234,-4.664995193481445,1.3548300141888074,size-v1_3b-p0003-an_ant-vs-a_domestic_cat,small,1.0,tiny_huge,0.00510347133465763,0.3988545917527062,0.5418104166794223,0.054231520233213946,"If the normal body length for an ant is 1 centimeters, then 3 centimeters would best be called",relative_open_size,a,bierwisch_kennedy_size_v1_3_b,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
an ant,a domestic cat,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,0.5819539602424317,tiny,0.0,False,False,-15.153169631958008,-10.349149703979492,-8.23397159576416,-10.675997734069824,-2.442026138305664,1.0294597603572215,size-v1_3b-p0003-an_ant-vs-a_domestic_cat,small,1.0,tiny_huge,0.0008180000396463107,0.0997958933892506,0.8274139734597814,0.07197213311132175,"If the normal body length for a domestic cat is 46 centimeters, then 3 centimeters would best be called",relative_open_size,b,bierwisch_kennedy_size_v1_3_b,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
an ant,a labrador dog,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,0.8836458148109435,huge,3.0,False,False,-14.530207633972168,-10.171531677246094,-9.865212440490723,-12.166866302490234,-4.664995193481445,1.3548300141888074,size-v1_3b-p0003-an_ant-vs-a_labrador_dog,small,1.0,tiny_huge,0.00510347133465763,0.3988545917527062,0.5418104166794223,0.054231520233213946,"If the normal body length for an ant is 1 centimeters, then 3 centimeters would best be called",relative_open_size,a,bierwisch_kennedy_size_v1_3_b,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
an ant,a labrador dog,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,0.3972642923395606,tiny,0.0,False,False,-16.052392959594727,-11.829480171203613,-9.238014221191406,-12.540243148803711,-3.3022289276123047,1.036219012952026,size-v1_3b-p0003-an_ant-vs-a_labrador_dog,small,1.0,tiny_huge,0.0009865798926514391,0.06731626035883624,0.898626752556399,0.03307040719211345,"If the normal body length for a labrador dog is 60 centimeters, then 3 centimeters would best be called",relative_open_size,b,bierwisch_kennedy_size_v1_3_b,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
an ant,an adult human,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,0.8836458148109435,huge,3.0,False,False,-14.530207633972168,-10.171531677246094,-9.865212440490723,-12.166866302490234,-4.664995193481445,1.3548300141888074,size-v1_3b-p0003-an_ant-vs-an_adult_human,small,1.0,tiny_huge,0.00510347133465763,0.3988545917527062,0.5418104166794223,0.054231520233213946,"If the normal body length for an ant is 1 centimeters, then 3 centimeters would best be called",relative_open_size,a,bierwisch_kennedy_size_v1_3_b,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
an ant,an adult human,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,0.6373385058918178,tiny,0.0,False,False,-15.435787200927734,-11.572315216064453,-9.96253490447998,-12.805508613586426,-2.8429737091064453,1.1188820433535267,size-v1_3b-p0003-an_ant-vs-an_adult_human,small,1.0,tiny_huge,0.003325111295238559,0.15837650330608893,0.7921537028556336,0.046144682543039044,"If the normal body length for an adult human is 170 centimeters, then 3 centimeters would best be called",relative_open_size,b,bierwisch_kennedy_size_v1_3_b,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
an african elephant,an ant,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,0.7918780193294732,tiny,0.0,False,False,-15.575102806091309,-12.27326774597168,-10.63721752166748,-12.421337127685547,-1.7841196060180664,1.0300339451196237,size-v1_3b-p0003-an_african_elephant-vs-an_ant,small,1.0,tiny_huge,0.005233915956021003,0.14216591724011698,0.7300003627713265,0.12259980403253544,"If the normal body length for an african elephant is 350 centimeters, then 3 centimeters would best be called",relative_open_size,a,bierwisch_kennedy_size_v1_3_b,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
an african elephant,an ant,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,0.8836458148109435,huge,3.0,False,False,-14.530207633972168,-10.171531677246094,-9.865212440490723,-12.166866302490234,-4.664995193481445,1.3548300141888074,size-v1_3b-p0003-an_african_elephant-vs-an_ant,small,1.0,tiny_huge,0.00510347133465763,0.3988545917527062,0.5418104166794223,0.054231520233213946,"If the normal body length for an ant is 1 centimeters, then 3 centimeters would best be called",relative_open_size,b,bierwisch_kennedy_size_v1_3_b,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
