a_expected_label,a_prompt,b_expected_label,b_prompt,comparison_a,comparison_b,control_type,delta_a,delta_b,design,dimension,is_artificial_norm,is_borderline,pair_id,predicate_family,scale_type,source,standard_a,standard_b,standard_type,target,type,unit,value
cool,"For freezer air, the normal temperature is -18 degrees Celsius. Relative to that standard, -30 degrees Celsius is",cold,"For room air, the normal temperature is 21 degrees Celsius. Relative to that standard, -30 degrees Celsius is",freezer air,room air,standard_explicit,-12,-51,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-m030-freezer_air-vs-room_air,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,-18,21,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,celsius,-30
cool,"For freezer air, the normal temperature is -18 degrees Celsius. Relative to that standard, -30 degrees Celsius is",cold,"For swimming-pool water, the normal temperature is 27 degrees Celsius. Relative to that standard, -30 degrees Celsius is",freezer air,swimming-pool water,standard_explicit,-12,-57,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-m030-freezer_air-vs-swimming_pool_water,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,-18,27,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,celsius,-30
cool,"For freezer air, the normal temperature is -18 degrees Celsius. Relative to that standard, -30 degrees Celsius is",cold,"For bath water, the normal temperature is 38 degrees Celsius. Relative to that standard, -30 degrees Celsius is",freezer air,bath water,standard_explicit,-12,-68,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-m030-freezer_air-vs-bath_water,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,-18,38,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,celsius,-30
cool,"For freezer air, the normal temperature is -18 degrees Celsius. Relative to that standard, -30 degrees Celsius is",cold,"For freshly served tea, the normal temperature is 80 degrees Celsius. Relative to that standard, -30 degrees Celsius is",freezer air,freshly served tea,standard_explicit,-12,-110,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-m030-freezer_air-vs-freshly_served_tea,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,-18,80,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,celsius,-30
cool,"For freezer air, the normal temperature is -18 degrees Celsius. Relative to that standard, -30 degrees Celsius is",cold,"For heated oven air, the normal temperature is 180 degrees Celsius. Relative to that standard, -30 degrees Celsius is",freezer air,heated oven air,standard_explicit,-12,-210,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-m030-freezer_air-vs-heated_oven_air,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,-18,180,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,celsius,-30
warm,"For freezer air, the normal temperature is -18 degrees Celsius. Relative to that standard, -10 degrees Celsius is",cold,"For room air, the normal temperature is 21 degrees Celsius. Relative to that standard, -10 degrees Celsius is",freezer air,room air,standard_explicit,8,-31,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-m010-freezer_air-vs-room_air,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,-18,21,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,celsius,-10
warm,"For freezer air, the normal temperature is -18 degrees Celsius. Relative to that standard, -10 degrees Celsius is",cold,"For swimming-pool water, the normal temperature is 27 degrees Celsius. Relative to that standard, -10 degrees Celsius is",freezer air,swimming-pool water,standard_explicit,8,-37,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-m010-freezer_air-vs-swimming_pool_water,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,-18,27,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,celsius,-10
warm,"For freezer air, the normal temperature is -18 degrees Celsius. Relative to that standard, -10 degrees Celsius is",cold,"For bath water, the normal temperature is 38 degrees Celsius. Relative to that standard, -10 degrees Celsius is",freezer air,bath water,standard_explicit,8,-48,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-m010-freezer_air-vs-bath_water,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,-18,38,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,celsius,-10
warm,"For freezer air, the normal temperature is -18 degrees Celsius. Relative to that standard, -10 degrees Celsius is",cold,"For freshly served tea, the normal temperature is 80 degrees Celsius. Relative to that standard, -10 degrees Celsius is",freezer air,freshly served tea,standard_explicit,8,-90,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-m010-freezer_air-vs-freshly_served_tea,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,-18,80,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,celsius,-10
warm,"For freezer air, the normal temperature is -18 degrees Celsius. Relative to that standard, -10 degrees Celsius is",cold,"For heated oven air, the normal temperature is 180 degrees Celsius. Relative to that standard, -10 degrees Celsius is",freezer air,heated oven air,standard_explicit,8,-190,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-m010-freezer_air-vs-heated_oven_air,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,-18,180,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,celsius,-10
hot,"For freezer air, the normal temperature is -18 degrees Celsius. Relative to that standard, 5 degrees Celsius is",cool,"For room air, the normal temperature is 21 degrees Celsius. Relative to that standard, 5 degrees Celsius is",freezer air,room air,standard_explicit,23,-16,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p005-freezer_air-vs-room_air,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,-18,21,comparison_class_explicit,5 degrees Celsius,gradable_scalar,celsius,5
