a_expected_label,a_prompt,b_expected_label,b_prompt,comparison_a,comparison_b,control_type,delta_a,delta_b,design,dimension,is_artificial_norm,is_borderline,pair_flipped,pair_id,pair_orientation_base_key,paraphrase,predicate_family,scale_type,source,standard_a,standard_b,standard_type,target,type,unit,value
cold,"For room air, a typical temperature is 21 degrees Celsius. Relative to that 21-degree reference, a temperature of -30 degrees Celsius is best described as",cool,"For freezer air, a typical temperature is -18 degrees Celsius. Relative to that -18-degree reference, a temperature of -30 degrees Celsius is best described as",room air,freezer air,standard_explicit,-51,-12,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,True,temp-v1_3a-m030-room_air-vs-freezer_air,temp-v1_3a-m030-freezer_air-vs-room_air,a,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_a,21,-18,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,Celsius,-30
cold,"For swimming-pool water, a typical temperature is 27 degrees Celsius. Relative to that 27-degree reference, a temperature of -30 degrees Celsius is best described as",cool,"For freezer air, a typical temperature is -18 degrees Celsius. Relative to that -18-degree reference, a temperature of -30 degrees Celsius is best described as",swimming-pool water,freezer air,standard_explicit,-57,-12,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,True,temp-v1_3a-m030-swimming_pool_water-vs-freezer_air,temp-v1_3a-m030-freezer_air-vs-swimming_pool_water,a,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_a,27,-18,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,Celsius,-30
cold,"For bath water, a typical temperature is 38 degrees Celsius. Relative to that 38-degree reference, a temperature of -30 degrees Celsius is best described as",cool,"For freezer air, a typical temperature is -18 degrees Celsius. Relative to that -18-degree reference, a temperature of -30 degrees Celsius is best described as",bath water,freezer air,standard_explicit,-68,-12,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,True,temp-v1_3a-m030-bath_water-vs-freezer_air,temp-v1_3a-m030-freezer_air-vs-bath_water,a,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_a,38,-18,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,Celsius,-30
cool,"For freezer air, a typical temperature is -18 degrees Celsius. Relative to that -18-degree reference, a temperature of -30 degrees Celsius is best described as",cold,"For freshly served tea, a typical temperature is 80 degrees Celsius. Relative to that 80-degree reference, a temperature of -30 degrees Celsius is best described as",freezer air,freshly served tea,standard_explicit,-12,-110,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,False,temp-v1_3a-m030-freezer_air-vs-freshly_served_tea,temp-v1_3a-m030-freezer_air-vs-freshly_served_tea,a,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_a,-18,80,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,Celsius,-30
cold,"For heated oven air, a typical temperature is 180 degrees Celsius. Relative to that 180-degree reference, a temperature of -30 degrees Celsius is best described as",cool,"For freezer air, a typical temperature is -18 degrees Celsius. Relative to that -18-degree reference, a temperature of -30 degrees Celsius is best described as",heated oven air,freezer air,standard_explicit,-210,-12,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,True,temp-v1_3a-m030-heated_oven_air-vs-freezer_air,temp-v1_3a-m030-freezer_air-vs-heated_oven_air,a,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_a,180,-18,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,Celsius,-30
warm,"For freezer air, a typical temperature is -18 degrees Celsius. Relative to that -18-degree reference, a temperature of -10 degrees Celsius is best described as",cold,"For room air, a typical temperature is 21 degrees Celsius. Relative to that 21-degree reference, a temperature of -10 degrees Celsius is best described as",freezer air,room air,standard_explicit,8,-31,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,False,temp-v1_3a-m010-freezer_air-vs-room_air,temp-v1_3a-m010-freezer_air-vs-room_air,a,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_a,-18,21,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,Celsius,-10
cold,"For swimming-pool water, a typical temperature is 27 degrees Celsius. Relative to that 27-degree reference, a temperature of -10 degrees Celsius is best described as",warm,"For freezer air, a typical temperature is -18 degrees Celsius. Relative to that -18-degree reference, a temperature of -10 degrees Celsius is best described as",swimming-pool water,freezer air,standard_explicit,-37,8,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,True,temp-v1_3a-m010-swimming_pool_water-vs-freezer_air,temp-v1_3a-m010-freezer_air-vs-swimming_pool_water,a,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_a,27,-18,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,Celsius,-10
cold,"For bath water, a typical temperature is 38 degrees Celsius. Relative to that 38-degree reference, a temperature of -10 degrees Celsius is best described as",warm,"For freezer air, a typical temperature is -18 degrees Celsius. Relative to that -18-degree reference, a temperature of -10 degrees Celsius is best described as",bath water,freezer air,standard_explicit,-48,8,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,True,temp-v1_3a-m010-bath_water-vs-freezer_air,temp-v1_3a-m010-freezer_air-vs-bath_water,a,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_a,38,-18,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,Celsius,-10
warm,"For freezer air, a typical temperature is -18 degrees Celsius. Relative to that -18-degree reference, a temperature of -10 degrees Celsius is best described as",cold,"For freshly served tea, a typical temperature is 80 degrees Celsius. Relative to that 80-degree reference, a temperature of -10 degrees Celsius is best described as",freezer air,freshly served tea,standard_explicit,8,-90,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,False,temp-v1_3a-m010-freezer_air-vs-freshly_served_tea,temp-v1_3a-m010-freezer_air-vs-freshly_served_tea,a,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_a,-18,80,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,Celsius,-10
cold,"For heated oven air, a typical temperature is 180 degrees Celsius. Relative to that 180-degree reference, a temperature of -10 degrees Celsius is best described as",warm,"For freezer air, a typical temperature is -18 degrees Celsius. Relative to that -18-degree reference, a temperature of -10 degrees Celsius is best described as",heated oven air,freezer air,standard_explicit,-190,8,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,True,temp-v1_3a-m010-heated_oven_air-vs-freezer_air,temp-v1_3a-m010-freezer_air-vs-heated_oven_air,a,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_a,180,-18,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,Celsius,-10
