a_expected_label,a_prompt,b_expected_label,b_prompt,comparison_a,comparison_b,control_type,delta_a,delta_b,design,dimension,is_artificial_norm,is_borderline,pair_flipped,pair_id,pair_orientation_base_key,paraphrase,predicate_family,scale_type,source,standard_a,standard_b,standard_type,target,type,unit,value
cold,"For room air, normal is 21 degrees Celsius. Compared to that, -30 degrees Celsius is",cool,"For freezer air, normal is -18 degrees Celsius. Compared to that, -30 degrees Celsius is",room air,freezer air,standard_explicit,-51,-12,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,True,temp-v1_3c-m030-room_air-vs-freezer_air,temp-v1_3c-m030-freezer_air-vs-room_air,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,21,-18,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,Celsius,-30
cool,"For freezer air, normal is -18 degrees Celsius. Compared to that, -30 degrees Celsius is",cold,"For swimming-pool water, normal is 27 degrees Celsius. Compared to that, -30 degrees Celsius is",freezer air,swimming-pool water,standard_explicit,-12,-57,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,False,temp-v1_3c-m030-freezer_air-vs-swimming_pool_water,temp-v1_3c-m030-freezer_air-vs-swimming_pool_water,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,-18,27,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,Celsius,-30
cold,"For bath water, normal is 38 degrees Celsius. Compared to that, -30 degrees Celsius is",cool,"For freezer air, normal is -18 degrees Celsius. Compared to that, -30 degrees Celsius is",bath water,freezer air,standard_explicit,-68,-12,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,True,temp-v1_3c-m030-bath_water-vs-freezer_air,temp-v1_3c-m030-freezer_air-vs-bath_water,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,38,-18,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,Celsius,-30
cool,"For freezer air, normal is -18 degrees Celsius. Compared to that, -30 degrees Celsius is",cold,"For freshly served tea, normal is 80 degrees Celsius. Compared to that, -30 degrees Celsius is",freezer air,freshly served tea,standard_explicit,-12,-110,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,False,temp-v1_3c-m030-freezer_air-vs-freshly_served_tea,temp-v1_3c-m030-freezer_air-vs-freshly_served_tea,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,-18,80,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,Celsius,-30
cool,"For freezer air, normal is -18 degrees Celsius. Compared to that, -30 degrees Celsius is",cold,"For heated oven air, normal is 180 degrees Celsius. Compared to that, -30 degrees Celsius is",freezer air,heated oven air,standard_explicit,-12,-210,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,False,temp-v1_3c-m030-freezer_air-vs-heated_oven_air,temp-v1_3c-m030-freezer_air-vs-heated_oven_air,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,-18,180,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,Celsius,-30
cold,"For room air, normal is 21 degrees Celsius. Compared to that, -10 degrees Celsius is",warm,"For freezer air, normal is -18 degrees Celsius. Compared to that, -10 degrees Celsius is",room air,freezer air,standard_explicit,-31,8,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,True,temp-v1_3c-m010-room_air-vs-freezer_air,temp-v1_3c-m010-freezer_air-vs-room_air,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,21,-18,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,Celsius,-10
warm,"For freezer air, normal is -18 degrees Celsius. Compared to that, -10 degrees Celsius is",cold,"For swimming-pool water, normal is 27 degrees Celsius. Compared to that, -10 degrees Celsius is",freezer air,swimming-pool water,standard_explicit,8,-37,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,False,temp-v1_3c-m010-freezer_air-vs-swimming_pool_water,temp-v1_3c-m010-freezer_air-vs-swimming_pool_water,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,-18,27,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,Celsius,-10
cold,"For bath water, normal is 38 degrees Celsius. Compared to that, -10 degrees Celsius is",warm,"For freezer air, normal is -18 degrees Celsius. Compared to that, -10 degrees Celsius is",bath water,freezer air,standard_explicit,-48,8,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,True,temp-v1_3c-m010-bath_water-vs-freezer_air,temp-v1_3c-m010-freezer_air-vs-bath_water,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,38,-18,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,Celsius,-10
cold,"For freshly served tea, normal is 80 degrees Celsius. Compared to that, -10 degrees Celsius is",warm,"For freezer air, normal is -18 degrees Celsius. Compared to that, -10 degrees Celsius is",freshly served tea,freezer air,standard_explicit,-90,8,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,True,temp-v1_3c-m010-freshly_served_tea-vs-freezer_air,temp-v1_3c-m010-freezer_air-vs-freshly_served_tea,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,80,-18,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,Celsius,-10
cold,"For heated oven air, normal is 180 degrees Celsius. Compared to that, -10 degrees Celsius is",warm,"For freezer air, normal is -18 degrees Celsius. Compared to that, -10 degrees Celsius is",heated oven air,freezer air,standard_explicit,-190,8,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,True,temp-v1_3c-m010-heated_oven_air-vs-freezer_air,temp-v1_3c-m010-freezer_air-vs-heated_oven_air,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,180,-18,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,Celsius,-10
cool,"For room air, normal is 21 degrees Celsius. Compared to that, 5 degrees Celsius is",hot,"For freezer air, normal is -18 degrees Celsius. Compared to that, 5 degrees Celsius is",room air,freezer air,standard_explicit,-16,23,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,True,temp-v1_3c-p005-room_air-vs-freezer_air,temp-v1_3c-p005-freezer_air-vs-room_air,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,21,-18,comparison_class_explicit,5 degrees Celsius,gradable_scalar,Celsius,5
