a_expected_label,a_prompt,b_expected_label,b_prompt,comparison_a,comparison_b,control_type,design,dimension,is_artificial_norm,is_borderline,pair_flipped,pair_id,pair_orientation_base_key,paraphrase,predicate_family,ratio_a,ratio_b,scale_type,source,standard_a,standard_b,standard_type,target,type,unit,value
huge,"For an ant, normal is 1 centimeters. Compared to that, 3 centimeters is",tiny,"For a house mouse, normal is 9 centimeters. Compared to that, 3 centimeters is",an ant,a house mouse,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,False,False,False,size-v1_3c-p0003-an_ant-vs-a_house_mouse,size-v1_3c-p0003-an_ant-vs-a_house_mouse,c,tiny_huge,3.0,0.3333333333333333,relative_open_size,bierwisch_kennedy_size_v1_3_c,1,9,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
tiny,"For a domestic cat, normal is 46 centimeters. Compared to that, 3 centimeters is",huge,"For an ant, normal is 1 centimeters. Compared to that, 3 centimeters is",a domestic cat,an ant,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,False,False,True,size-v1_3c-p0003-a_domestic_cat-vs-an_ant,size-v1_3c-p0003-an_ant-vs-a_domestic_cat,c,tiny_huge,0.06521739130434782,3.0,relative_open_size,bierwisch_kennedy_size_v1_3_c,46,1,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
tiny,"For a labrador dog, normal is 60 centimeters. Compared to that, 3 centimeters is",huge,"For an ant, normal is 1 centimeters. Compared to that, 3 centimeters is",a labrador dog,an ant,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,False,False,True,size-v1_3c-p0003-a_labrador_dog-vs-an_ant,size-v1_3c-p0003-an_ant-vs-a_labrador_dog,c,tiny_huge,0.05,3.0,relative_open_size,bierwisch_kennedy_size_v1_3_c,60,1,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
huge,"For an ant, normal is 1 centimeters. Compared to that, 3 centimeters is",tiny,"For an adult human, normal is 170 centimeters. Compared to that, 3 centimeters is",an ant,an adult human,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,False,False,False,size-v1_3c-p0003-an_ant-vs-an_adult_human,size-v1_3c-p0003-an_ant-vs-an_adult_human,c,tiny_huge,3.0,0.01764705882352941,relative_open_size,bierwisch_kennedy_size_v1_3_c,1,170,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
huge,"For an ant, normal is 1 centimeters. Compared to that, 3 centimeters is",tiny,"For an african elephant, normal is 350 centimeters. Compared to that, 3 centimeters is",an ant,an african elephant,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,False,False,False,size-v1_3c-p0003-an_ant-vs-an_african_elephant,size-v1_3c-p0003-an_ant-vs-an_african_elephant,c,tiny_huge,3.0,0.008571428571428572,relative_open_size,bierwisch_kennedy_size_v1_3_c,1,350,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
tiny,"For a domestic cat, normal is 46 centimeters. Compared to that, 8 centimeters is",huge,"For an ant, normal is 1 centimeters. Compared to that, 8 centimeters is",a domestic cat,an ant,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,False,False,True,size-v1_3c-p0008-a_domestic_cat-vs-an_ant,size-v1_3c-p0008-an_ant-vs-a_domestic_cat,c,tiny_huge,0.17391304347826086,8.0,relative_open_size,bierwisch_kennedy_size_v1_3_c,46,1,comparison_class_explicit,8 centimeters,gradable_scalar,centimeters,8
huge,"For an ant, normal is 1 centimeters. Compared to that, 8 centimeters is",tiny,"For a labrador dog, normal is 60 centimeters. Compared to that, 8 centimeters is",an ant,a labrador dog,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,False,False,False,size-v1_3c-p0008-an_ant-vs-a_labrador_dog,size-v1_3c-p0008-an_ant-vs-a_labrador_dog,c,tiny_huge,8.0,0.13333333333333333,relative_open_size,bierwisch_kennedy_size_v1_3_c,1,60,comparison_class_explicit,8 centimeters,gradable_scalar,centimeters,8
huge,"For an ant, normal is 1 centimeters. Compared to that, 8 centimeters is",tiny,"For an adult human, normal is 170 centimeters. Compared to that, 8 centimeters is",an ant,an adult human,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,False,False,False,size-v1_3c-p0008-an_ant-vs-an_adult_human,size-v1_3c-p0008-an_ant-vs-an_adult_human,c,tiny_huge,8.0,0.047058823529411764,relative_open_size,bierwisch_kennedy_size_v1_3_c,1,170,comparison_class_explicit,8 centimeters,gradable_scalar,centimeters,8
tiny,"For an african elephant, normal is 350 centimeters. Compared to that, 8 centimeters is",huge,"For an ant, normal is 1 centimeters. Compared to that, 8 centimeters is",an african elephant,an ant,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,False,False,True,size-v1_3c-p0008-an_african_elephant-vs-an_ant,size-v1_3c-p0008-an_ant-vs-an_african_elephant,c,tiny_huge,0.022857142857142857,8.0,relative_open_size,bierwisch_kennedy_size_v1_3_c,350,1,comparison_class_explicit,8 centimeters,gradable_scalar,centimeters,8
huge,"For an ant, normal is 1 centimeters. Compared to that, 15 centimeters is",large,"For a house mouse, normal is 9 centimeters. Compared to that, 15 centimeters is",an ant,a house mouse,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,False,False,False,size-v1_3c-p0015-an_ant-vs-a_house_mouse,size-v1_3c-p0015-an_ant-vs-a_house_mouse,c,tiny_huge,15.0,1.6666666666666667,relative_open_size,bierwisch_kennedy_size_v1_3_c,1,9,comparison_class_explicit,15 centimeters,gradable_scalar,centimeters,15
