a_expected_label,a_prompt,b_expected_label,b_prompt,comparison_a,comparison_b,control_type,design,dimension,is_artificial_norm,is_borderline,pair_flipped,pair_id,pair_orientation_base_key,predicate_family,ratio_a,ratio_b,scale_type,source,standard_a,standard_b,standard_type,target,type,unit,value
tiny,"The normal body length for a house mouse is 9 centimeters. Compared only to that 9-centimeter baseline for a house mouse, a body length of 3 centimeters feels",huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 3 centimeters feels",a house mouse,an ant,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation,size,False,False,True,size-v1_2-p0003-a_house_mouse-vs-an_ant,size-v1_2-p0003-an_ant-vs-a_house_mouse,tiny_huge,0.3333333333333333,3.0,relative_open_size,bierwisch_kennedy_size_v1_2,9,1,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 3 centimeters feels",tiny,"The normal body length for a domestic cat is 46 centimeters. Compared only to that 46-centimeter baseline for a domestic cat, a body length of 3 centimeters feels",an ant,a domestic cat,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation,size,False,False,False,size-v1_2-p0003-an_ant-vs-a_domestic_cat,size-v1_2-p0003-an_ant-vs-a_domestic_cat,tiny_huge,3.0,0.06521739130434782,relative_open_size,bierwisch_kennedy_size_v1_2,1,46,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 3 centimeters feels",tiny,"The normal body length for a labrador dog is 60 centimeters. Compared only to that 60-centimeter baseline for a labrador dog, a body length of 3 centimeters feels",an ant,a labrador dog,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation,size,False,False,False,size-v1_2-p0003-an_ant-vs-a_labrador_dog,size-v1_2-p0003-an_ant-vs-a_labrador_dog,tiny_huge,3.0,0.05,relative_open_size,bierwisch_kennedy_size_v1_2,1,60,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
tiny,"The normal body length for an adult human is 170 centimeters. Compared only to that 170-centimeter baseline for an adult human, a body length of 3 centimeters feels",huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 3 centimeters feels",an adult human,an ant,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation,size,False,False,True,size-v1_2-p0003-an_adult_human-vs-an_ant,size-v1_2-p0003-an_ant-vs-an_adult_human,tiny_huge,0.01764705882352941,3.0,relative_open_size,bierwisch_kennedy_size_v1_2,170,1,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 3 centimeters feels",tiny,"The normal body length for an african elephant is 350 centimeters. Compared only to that 350-centimeter baseline for an african elephant, a body length of 3 centimeters feels",an ant,an african elephant,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation,size,False,False,False,size-v1_2-p0003-an_ant-vs-an_african_elephant,size-v1_2-p0003-an_ant-vs-an_african_elephant,tiny_huge,3.0,0.008571428571428572,relative_open_size,bierwisch_kennedy_size_v1_2,1,350,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
tiny,"The normal body length for a domestic cat is 46 centimeters. Compared only to that 46-centimeter baseline for a domestic cat, a body length of 8 centimeters feels",huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 8 centimeters feels",a domestic cat,an ant,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation,size,False,False,True,size-v1_2-p0008-a_domestic_cat-vs-an_ant,size-v1_2-p0008-an_ant-vs-a_domestic_cat,tiny_huge,0.17391304347826086,8.0,relative_open_size,bierwisch_kennedy_size_v1_2,46,1,comparison_class_explicit,8 centimeters,gradable_scalar,centimeters,8
huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 8 centimeters feels",tiny,"The normal body length for a labrador dog is 60 centimeters. Compared only to that 60-centimeter baseline for a labrador dog, a body length of 8 centimeters feels",an ant,a labrador dog,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation,size,False,False,False,size-v1_2-p0008-an_ant-vs-a_labrador_dog,size-v1_2-p0008-an_ant-vs-a_labrador_dog,tiny_huge,8.0,0.13333333333333333,relative_open_size,bierwisch_kennedy_size_v1_2,1,60,comparison_class_explicit,8 centimeters,gradable_scalar,centimeters,8
huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 8 centimeters feels",tiny,"The normal body length for an adult human is 170 centimeters. Compared only to that 170-centimeter baseline for an adult human, a body length of 8 centimeters feels",an ant,an adult human,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation,size,False,False,False,size-v1_2-p0008-an_ant-vs-an_adult_human,size-v1_2-p0008-an_ant-vs-an_adult_human,tiny_huge,8.0,0.047058823529411764,relative_open_size,bierwisch_kennedy_size_v1_2,1,170,comparison_class_explicit,8 centimeters,gradable_scalar,centimeters,8
huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 8 centimeters feels",tiny,"The normal body length for an african elephant is 350 centimeters. Compared only to that 350-centimeter baseline for an african elephant, a body length of 8 centimeters feels",an ant,an african elephant,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation,size,False,False,False,size-v1_2-p0008-an_ant-vs-an_african_elephant,size-v1_2-p0008-an_ant-vs-an_african_elephant,tiny_huge,8.0,0.022857142857142857,relative_open_size,bierwisch_kennedy_size_v1_2,1,350,comparison_class_explicit,8 centimeters,gradable_scalar,centimeters,8
large,"The normal body length for a house mouse is 9 centimeters. Compared only to that 9-centimeter baseline for a house mouse, a body length of 15 centimeters feels",huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 15 centimeters feels",a house mouse,an ant,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation,size,False,False,True,size-v1_2-p0015-a_house_mouse-vs-an_ant,size-v1_2-p0015-an_ant-vs-a_house_mouse,tiny_huge,1.6666666666666667,15.0,relative_open_size,bierwisch_kennedy_size_v1_2,9,1,comparison_class_explicit,15 centimeters,gradable_scalar,centimeters,15
