a_expected_label,a_prompt,b_expected_label,b_prompt,comparison_a,comparison_b,control_type,delta_a,delta_b,design,dimension,is_artificial_norm,is_borderline,pair_flipped,pair_id,pair_orientation_base_key,paraphrase,predicate_family,scale_type,source,standard_a,standard_b,standard_type,target,type,unit,value
cold,"If the normal temperature for room air is 21 degrees Celsius, then -30 degrees Celsius would best be called",cool,"If the normal temperature for freezer air is -18 degrees Celsius, then -30 degrees Celsius would best be called",room air,freezer air,standard_explicit,-51,-12,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,True,temp-v1_3b-m030-room_air-vs-freezer_air,temp-v1_3b-m030-freezer_air-vs-room_air,b,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_b,21,-18,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,Celsius,-30
cold,"If the normal temperature for swimming-pool water is 27 degrees Celsius, then -30 degrees Celsius would best be called",cool,"If the normal temperature for freezer air is -18 degrees Celsius, then -30 degrees Celsius would best be called",swimming-pool water,freezer air,standard_explicit,-57,-12,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,True,temp-v1_3b-m030-swimming_pool_water-vs-freezer_air,temp-v1_3b-m030-freezer_air-vs-swimming_pool_water,b,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_b,27,-18,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,Celsius,-30
cold,"If the normal temperature for bath water is 38 degrees Celsius, then -30 degrees Celsius would best be called",cool,"If the normal temperature for freezer air is -18 degrees Celsius, then -30 degrees Celsius would best be called",bath water,freezer air,standard_explicit,-68,-12,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,True,temp-v1_3b-m030-bath_water-vs-freezer_air,temp-v1_3b-m030-freezer_air-vs-bath_water,b,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_b,38,-18,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,Celsius,-30
cool,"If the normal temperature for freezer air is -18 degrees Celsius, then -30 degrees Celsius would best be called",cold,"If the normal temperature for freshly served tea is 80 degrees Celsius, then -30 degrees Celsius would best be called",freezer air,freshly served tea,standard_explicit,-12,-110,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,False,temp-v1_3b-m030-freezer_air-vs-freshly_served_tea,temp-v1_3b-m030-freezer_air-vs-freshly_served_tea,b,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_b,-18,80,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,Celsius,-30
cool,"If the normal temperature for freezer air is -18 degrees Celsius, then -30 degrees Celsius would best be called",cold,"If the normal temperature for heated oven air is 180 degrees Celsius, then -30 degrees Celsius would best be called",freezer air,heated oven air,standard_explicit,-12,-210,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,False,temp-v1_3b-m030-freezer_air-vs-heated_oven_air,temp-v1_3b-m030-freezer_air-vs-heated_oven_air,b,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_b,-18,180,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,Celsius,-30
warm,"If the normal temperature for freezer air is -18 degrees Celsius, then -10 degrees Celsius would best be called",cold,"If the normal temperature for room air is 21 degrees Celsius, then -10 degrees Celsius would best be called",freezer air,room air,standard_explicit,8,-31,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,False,temp-v1_3b-m010-freezer_air-vs-room_air,temp-v1_3b-m010-freezer_air-vs-room_air,b,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_b,-18,21,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,Celsius,-10
warm,"If the normal temperature for freezer air is -18 degrees Celsius, then -10 degrees Celsius would best be called",cold,"If the normal temperature for swimming-pool water is 27 degrees Celsius, then -10 degrees Celsius would best be called",freezer air,swimming-pool water,standard_explicit,8,-37,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,False,temp-v1_3b-m010-freezer_air-vs-swimming_pool_water,temp-v1_3b-m010-freezer_air-vs-swimming_pool_water,b,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_b,-18,27,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,Celsius,-10
cold,"If the normal temperature for bath water is 38 degrees Celsius, then -10 degrees Celsius would best be called",warm,"If the normal temperature for freezer air is -18 degrees Celsius, then -10 degrees Celsius would best be called",bath water,freezer air,standard_explicit,-48,8,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,True,temp-v1_3b-m010-bath_water-vs-freezer_air,temp-v1_3b-m010-freezer_air-vs-bath_water,b,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_b,38,-18,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,Celsius,-10
warm,"If the normal temperature for freezer air is -18 degrees Celsius, then -10 degrees Celsius would best be called",cold,"If the normal temperature for freshly served tea is 80 degrees Celsius, then -10 degrees Celsius would best be called",freezer air,freshly served tea,standard_explicit,8,-90,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,False,temp-v1_3b-m010-freezer_air-vs-freshly_served_tea,temp-v1_3b-m010-freezer_air-vs-freshly_served_tea,b,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_b,-18,80,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,Celsius,-10
warm,"If the normal temperature for freezer air is -18 degrees Celsius, then -10 degrees Celsius would best be called",cold,"If the normal temperature for heated oven air is 180 degrees Celsius, then -10 degrees Celsius would best be called",freezer air,heated oven air,standard_explicit,8,-190,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,False,temp-v1_3b-m010-freezer_air-vs-heated_oven_air,temp-v1_3b-m010-freezer_air-vs-heated_oven_air,b,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_b,-18,180,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,Celsius,-10
