a_expected_label,a_prompt,b_expected_label,b_prompt,comparison_a,comparison_b,context_type,control_type,design,dimension,is_artificial_norm,is_borderline,log_ratio_a,log_ratio_b,pair_flipped,pair_id,pair_orientation_base_key,predicate_family,ratio_a,ratio_b,ratio_bucket_a,ratio_bucket_b,regime,scale_type,source,standard_a,standard_b,standard_type,target,type,unit,value
tiny,"The normal body length for Class B objects is 9 centimeters. Compared only to that 9-centimeter baseline for Class B objects, a body length of 3 centimeters feels",huge,"The normal body length for Class A objects is 1 centimeters. Compared only to that 1-centimeter baseline for Class A objects, a body length of 3 centimeters feels",Class B objects,Class A objects,neutral_class_labels,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,False,False,-1.0986122886681098,1.0986122886681098,True,size-v2-neutral-p0003-Class_B_objects-vs-Class_A_objects,size-v2-neutral-p0003-Class_A_objects-vs-Class_B_objects,tiny_huge,0.3333333333333333,3.0,0.333333,3,neutral,relative_open_size,bierwisch_kennedy_size_v2_neutral,9,1,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
huge,"The normal body length for Class A objects is 1 centimeters. Compared only to that 1-centimeter baseline for Class A objects, a body length of 3 centimeters feels",tiny,"The normal body length for Class C objects is 46 centimeters. Compared only to that 46-centimeter baseline for Class C objects, a body length of 3 centimeters feels",Class A objects,Class C objects,neutral_class_labels,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,False,False,1.0986122886681098,-2.7300291078209855,False,size-v2-neutral-p0003-Class_A_objects-vs-Class_C_objects,size-v2-neutral-p0003-Class_A_objects-vs-Class_C_objects,tiny_huge,3.0,0.06521739130434782,3,0.0652174,neutral,relative_open_size,bierwisch_kennedy_size_v2_neutral,1,46,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
tiny,"The normal body length for Class D objects is 60 centimeters. Compared only to that 60-centimeter baseline for Class D objects, a body length of 3 centimeters feels",huge,"The normal body length for Class A objects is 1 centimeters. Compared only to that 1-centimeter baseline for Class A objects, a body length of 3 centimeters feels",Class D objects,Class A objects,neutral_class_labels,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,False,False,-2.995732273553991,1.0986122886681098,True,size-v2-neutral-p0003-Class_D_objects-vs-Class_A_objects,size-v2-neutral-p0003-Class_A_objects-vs-Class_D_objects,tiny_huge,0.05,3.0,0.05,3,neutral,relative_open_size,bierwisch_kennedy_size_v2_neutral,60,1,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
tiny,"The normal body length for Class E objects is 170 centimeters. Compared only to that 170-centimeter baseline for Class E objects, a body length of 3 centimeters feels",huge,"The normal body length for Class A objects is 1 centimeters. Compared only to that 1-centimeter baseline for Class A objects, a body length of 3 centimeters feels",Class E objects,Class A objects,neutral_class_labels,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,False,False,-4.037186148382152,1.0986122886681098,True,size-v2-neutral-p0003-Class_E_objects-vs-Class_A_objects,size-v2-neutral-p0003-Class_A_objects-vs-Class_E_objects,tiny_huge,0.01764705882352941,3.0,0.0176471,3,neutral,relative_open_size,bierwisch_kennedy_size_v2_neutral,170,1,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
tiny,"The normal body length for Class F objects is 350 centimeters. Compared only to that 350-centimeter baseline for Class F objects, a body length of 3 centimeters feels",huge,"The normal body length for Class A objects is 1 centimeters. Compared only to that 1-centimeter baseline for Class A objects, a body length of 3 centimeters feels",Class F objects,Class A objects,neutral_class_labels,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,False,False,-4.75932086581535,1.0986122886681098,True,size-v2-neutral-p0003-Class_F_objects-vs-Class_A_objects,size-v2-neutral-p0003-Class_A_objects-vs-Class_F_objects,tiny_huge,0.008571428571428572,3.0,0.00857143,3,neutral,relative_open_size,bierwisch_kennedy_size_v2_neutral,350,1,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
tiny,"The normal body length for Class C objects is 46 centimeters. Compared only to that 46-centimeter baseline for Class C objects, a body length of 8 centimeters feels",huge,"The normal body length for Class A objects is 1 centimeters. Compared only to that 1-centimeter baseline for Class A objects, a body length of 8 centimeters feels",Class C objects,Class A objects,neutral_class_labels,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,False,False,-1.749199854809259,2.0794415416798357,True,size-v2-neutral-p0008-Class_C_objects-vs-Class_A_objects,size-v2-neutral-p0008-Class_A_objects-vs-Class_C_objects,tiny_huge,0.17391304347826086,8.0,0.173913,8,neutral,relative_open_size,bierwisch_kennedy_size_v2_neutral,46,1,comparison_class_explicit,8 centimeters,gradable_scalar,centimeters,8
tiny,"The normal body length for Class D objects is 60 centimeters. Compared only to that 60-centimeter baseline for Class D objects, a body length of 8 centimeters feels",huge,"The normal body length for Class A objects is 1 centimeters. Compared only to that 1-centimeter baseline for Class A objects, a body length of 8 centimeters feels",Class D objects,Class A objects,neutral_class_labels,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,False,False,-2.0149030205422647,2.0794415416798357,True,size-v2-neutral-p0008-Class_D_objects-vs-Class_A_objects,size-v2-neutral-p0008-Class_A_objects-vs-Class_D_objects,tiny_huge,0.13333333333333333,8.0,0.133333,8,neutral,relative_open_size,bierwisch_kennedy_size_v2_neutral,60,1,comparison_class_explicit,8 centimeters,gradable_scalar,centimeters,8
huge,"The normal body length for Class A objects is 1 centimeters. Compared only to that 1-centimeter baseline for Class A objects, a body length of 8 centimeters feels",tiny,"The normal body length for Class E objects is 170 centimeters. Compared only to that 170-centimeter baseline for Class E objects, a body length of 8 centimeters feels",Class A objects,Class E objects,neutral_class_labels,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,False,False,2.0794415416798357,-3.056356895370426,False,size-v2-neutral-p0008-Class_A_objects-vs-Class_E_objects,size-v2-neutral-p0008-Class_A_objects-vs-Class_E_objects,tiny_huge,8.0,0.047058823529411764,8,0.0470588,neutral,relative_open_size,bierwisch_kennedy_size_v2_neutral,1,170,comparison_class_explicit,8 centimeters,gradable_scalar,centimeters,8
huge,"The normal body length for Class A objects is 1 centimeters. Compared only to that 1-centimeter baseline for Class A objects, a body length of 8 centimeters feels",tiny,"The normal body length for Class F objects is 350 centimeters. Compared only to that 350-centimeter baseline for Class F objects, a body length of 8 centimeters feels",Class A objects,Class F objects,neutral_class_labels,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,False,False,2.0794415416798357,-3.7784916128036232,False,size-v2-neutral-p0008-Class_A_objects-vs-Class_F_objects,size-v2-neutral-p0008-Class_A_objects-vs-Class_F_objects,tiny_huge,8.0,0.022857142857142857,8,0.0228571,neutral,relative_open_size,bierwisch_kennedy_size_v2_neutral,1,350,comparison_class_explicit,8 centimeters,gradable_scalar,centimeters,8
huge,"The normal body length for Class A objects is 1 centimeters. Compared only to that 1-centimeter baseline for Class A objects, a body length of 15 centimeters feels",large,"The normal body length for Class B objects is 9 centimeters. Compared only to that 9-centimeter baseline for Class B objects, a body length of 15 centimeters feels",Class A objects,Class B objects,neutral_class_labels,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,False,False,2.70805020110221,0.5108256237659907,False,size-v2-neutral-p0015-Class_A_objects-vs-Class_B_objects,size-v2-neutral-p0015-Class_A_objects-vs-Class_B_objects,tiny_huge,15.0,1.6666666666666667,15,1.66667,neutral,relative_open_size,bierwisch_kennedy_size_v2_neutral,1,9,comparison_class_explicit,15 centimeters,gradable_scalar,centimeters,15
