comparison_a,comparison_b,control_type,correct,design,dimension,entropy,expected_label,expected_label_index,is_artificial_norm,is_borderline,logscore_cold,logscore_cool,logscore_hot,logscore_warm,margin,ordered_label_score,pair_id,pred_label,pred_label_index,predicate_family,prob_cold,prob_cool,prob_hot,prob_warm,prompt,scale_type,side,source,standard_type,target,type,unit,value
room air,freezer air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,1.2404342774978419,cold,0.0,False,False,-7.1588335037231445,-8.380504608154297,-6.611187934875488,-6.669613838195801,-0.5476455688476562,1.8785036674013775,temp-v1_3a-m030-room_air-vs-freezer_air,hot,3.0,warm_cold,0.21482474751473193,0.06331684854374833,0.37147001097458965,0.35038839296693014,"For room air, a typical temperature is 21 degrees Celsius. Relative to that 21-degree reference, a temperature of -30 degrees Celsius is best described as",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_3_a,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,Celsius,-30
room air,freezer air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,1.2363187076215474,cool,1.0,False,False,-7.336884498596191,-8.752799034118652,-8.507142066955566,-7.914127349853516,-1.415914535522461,1.086083639486833,temp-v1_3a-m030-room_air-vs-freezer_air,cold,0.0,warm_cold,0.4729396284771233,0.11478412719435539,0.14674702363543485,0.2655292206930865,"For freezer air, a typical temperature is -18 degrees Celsius. Relative to that -18-degree reference, a temperature of -30 degrees Celsius is best described as",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_3_a,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,Celsius,-30
swimming-pool water,freezer air,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,1.1897992593968236,cold,0.0,False,False,-7.454485893249512,-9.239495277404785,-8.622529029846191,-8.20194149017334,0.7474555969238281,1.0489257611284741,temp-v1_3a-m030-swimming_pool_water-vs-freezer_air,cold,0.0,warm_cold,0.5122057760618811,0.0859458173178239,0.15928313057006036,0.24256527605023467,"For swimming-pool water, a typical temperature is 27 degrees Celsius. Relative to that 27-degree reference, a temperature of -30 degrees Celsius is best described as",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_3_a,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,Celsius,-30
swimming-pool water,freezer air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,1.2363187076215474,cool,1.0,False,False,-7.336884498596191,-8.752799034118652,-8.507142066955566,-7.914127349853516,-1.415914535522461,1.086083639486833,temp-v1_3a-m030-swimming_pool_water-vs-freezer_air,cold,0.0,warm_cold,0.4729396284771233,0.11478412719435539,0.14674702363543485,0.2655292206930865,"For freezer air, a typical temperature is -18 degrees Celsius. Relative to that -18-degree reference, a temperature of -30 degrees Celsius is best described as",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_3_a,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,Celsius,-30
bath water,freezer air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,1.2884457188985838,cold,0.0,False,False,-7.250753402709961,-8.525708198547363,-7.556218147277832,-7.143275260925293,-0.10747814178466797,1.507087850176259,temp-v1_3a-m030-bath_water-vs-freezer_air,warm,2.0,warm_cold,0.31952036139681506,0.08928792004599695,0.23541649301588588,0.35577522554130214,"For bath water, a typical temperature is 38 degrees Celsius. Relative to that 38-degree reference, a temperature of -30 degrees Celsius is best described as",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_3_a,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,Celsius,-30
bath water,freezer air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,1.2363187076215474,cool,1.0,False,False,-7.336884498596191,-8.752799034118652,-8.507142066955566,-7.914127349853516,-1.415914535522461,1.086083639486833,temp-v1_3a-m030-bath_water-vs-freezer_air,cold,0.0,warm_cold,0.4729396284771233,0.11478412719435539,0.14674702363543485,0.2655292206930865,"For freezer air, a typical temperature is -18 degrees Celsius. Relative to that -18-degree reference, a temperature of -30 degrees Celsius is best described as",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_3_a,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,Celsius,-30
freezer air,freshly served tea,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,1.2363187076215474,cool,1.0,False,False,-7.336884498596191,-8.752799034118652,-8.507142066955566,-7.914127349853516,-1.415914535522461,1.086083639486833,temp-v1_3a-m030-freezer_air-vs-freshly_served_tea,cold,0.0,warm_cold,0.4729396284771233,0.11478412719435539,0.14674702363543485,0.2655292206930865,"For freezer air, a typical temperature is -18 degrees Celsius. Relative to that -18-degree reference, a temperature of -30 degrees Celsius is best described as",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_3_a,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,Celsius,-30
freezer air,freshly served tea,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,1.10300533140206,cold,0.0,False,False,-6.626163482666016,-8.233743667602539,-6.089330673217773,-7.749776840209961,-0.5368328094482422,1.8486455597204503,temp-v1_3a-m030-freezer_air-vs-freshly_served_tea,hot,3.0,warm_cold,0.3090181967185768,0.061918560376905386,0.5286005135345093,0.10046272937000851,"For freshly served tea, a typical temperature is 80 degrees Celsius. Relative to that 80-degree reference, a temperature of -30 degrees Celsius is best described as",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_3_a,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,Celsius,-30
heated oven air,freezer air,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,1.201451085831567,cold,0.0,False,False,-6.261723041534424,-8.536842346191406,-6.796517848968506,-6.421688556671143,0.15996551513671875,1.402933472075457,temp-v1_3a-m030-heated_oven_air-vs-freezer_air,cold,0.0,warm_cold,0.39358499004708347,0.040454493485986384,0.2305579456556103,0.33540257081131986,"For heated oven air, a typical temperature is 180 degrees Celsius. Relative to that 180-degree reference, a temperature of -30 degrees Celsius is best described as",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_3_a,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,Celsius,-30
heated oven air,freezer air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,1.2363187076215474,cool,1.0,False,False,-7.336884498596191,-8.752799034118652,-8.507142066955566,-7.914127349853516,-1.415914535522461,1.086083639486833,temp-v1_3a-m030-heated_oven_air-vs-freezer_air,cold,0.0,warm_cold,0.4729396284771233,0.11478412719435539,0.14674702363543485,0.2655292206930865,"For freezer air, a typical temperature is -18 degrees Celsius. Relative to that -18-degree reference, a temperature of -30 degrees Celsius is best described as",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_3_a,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,Celsius,-30
freezer air,room air,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,1.2685213141740044,warm,2.0,False,False,-7.102014541625977,-8.212336540222168,-7.847836494445801,-6.933689117431641,0.16832542419433594,1.3789638878459471,temp-v1_3a-m010-freezer_air-vs-room_air,warm,2.0,warm_cold,0.3347707562514625,0.11029118330411172,0.1587965836529839,0.3961414767914419,"For freezer air, a typical temperature is -18 degrees Celsius. Relative to that -18-degree reference, a temperature of -10 degrees Celsius is best described as",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_3_a,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,Celsius,-10
freezer air,room air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,1.206949675121034,cold,0.0,False,False,-7.116306304931641,-8.038175582885742,-6.334261894226074,-6.1893768310546875,-0.9269294738769531,1.9653318280151604,temp-v1_3a-m010-freezer_air-vs-room_air,warm,2.0,warm_cold,0.16365406044174663,0.06509746018696297,0.35773740908561685,0.41351107028567347,"For room air, a typical temperature is 21 degrees Celsius. Relative to that 21-degree reference, a temperature of -10 degrees Celsius is best described as",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_3_a,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,Celsius,-10
swimming-pool water,freezer air,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,1.2775941125822623,cold,0.0,False,False,-7.082766532897949,-8.446165084838867,-7.858777046203613,-7.43582820892334,0.3530616760253906,1.257595513103062,temp-v1_3a-m010-swimming_pool_water-vs-freezer_air,cold,0.0,warm_cold,0.4134687761595823,0.10576117103059006,0.19029423645281676,0.29047581635701075,"For swimming-pool water, a typical temperature is 27 degrees Celsius. Relative to that 27-degree reference, a temperature of -10 degrees Celsius is best described as",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_3_a,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,Celsius,-10
swimming-pool water,freezer air,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,1.2685213141740044,warm,2.0,False,False,-7.102014541625977,-8.212336540222168,-7.847836494445801,-6.933689117431641,0.16832542419433594,1.3789638878459471,temp-v1_3a-m010-swimming_pool_water-vs-freezer_air,warm,2.0,warm_cold,0.3347707562514625,0.11029118330411172,0.1587965836529839,0.3961414767914419,"For freezer air, a typical temperature is -18 degrees Celsius. Relative to that -18-degree reference, a temperature of -10 degrees Celsius is best described as",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_3_a,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,Celsius,-10
bath water,freezer air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,1.2496990603203995,cold,0.0,False,False,-7.491686820983887,-8.721061706542969,-7.18592643737793,-6.958015441894531,-0.5336713790893555,1.7853613980661254,temp-v1_3a-m010-bath_water-vs-freezer_air,warm,2.0,warm_cold,0.22960459682908463,0.06715368507482455,0.3117242767991191,0.39151744129697175,"For bath water, a typical temperature is 38 degrees Celsius. Relative to that 38-degree reference, a temperature of -10 degrees Celsius is best described as",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_3_a,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,Celsius,-10
bath water,freezer air,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,1.2685213141740044,warm,2.0,False,False,-7.102014541625977,-8.212336540222168,-7.847836494445801,-6.933689117431641,0.16832542419433594,1.3789638878459471,temp-v1_3a-m010-bath_water-vs-freezer_air,warm,2.0,warm_cold,0.3347707562514625,0.11029118330411172,0.1587965836529839,0.3961414767914419,"For freezer air, a typical temperature is -18 degrees Celsius. Relative to that -18-degree reference, a temperature of -10 degrees Celsius is best described as",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_3_a,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,Celsius,-10
freezer air,freshly served tea,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,1.2685213141740044,warm,2.0,False,False,-7.102014541625977,-8.212336540222168,-7.847836494445801,-6.933689117431641,0.16832542419433594,1.3789638878459471,temp-v1_3a-m010-freezer_air-vs-freshly_served_tea,warm,2.0,warm_cold,0.3347707562514625,0.11029118330411172,0.1587965836529839,0.3961414767914419,"For freezer air, a typical temperature is -18 degrees Celsius. Relative to that -18-degree reference, a temperature of -10 degrees Celsius is best described as",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_3_a,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,Celsius,-10
