comparison,entropy,expected_label,expected_label_index,ordered_score,pair_id,pred_label,pred_label_index,predictor,prob_huge,prob_large,prob_small,prob_tiny,prompt,prompt_hash,prompt_length,rho,row_idx,side,signed_score,site,standard,target,token_idx,value,variant
Type C dax rods,0.7000312339178905,large,2.0,1.8897945219722854,size-v2-fictional_semantic-p0090-Type_C_dax_rods-vs-Type_A_dax_rods,large,2.0,0.6711682738411701,0.06597462874705137,0.7588330659382405,0.17420450385465003,0.000987801460057973,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type C dax rods is 46 centimeters. Compared only to that 46-centimeter length standard for Type C dax rods, an overall length of 90 centimeters counts as",081139c24395af90,66,0.6711682738411701,0,a,0.6496153893705839,final_prompt_token,46.0,90 centimeters,65,90.0,fictional_semantic_adjective_counts
Type F dax rods,0.6671249057905176,tiny,0.0,1.2872310951976291,size-v2-fictional_semantic-p0025-Type_A_dax_rods-vs-Type_F_dax_rods,small,1.0,-2.639057329615259,0.0033353350425312086,0.288791285798607,0.6996425184728214,0.00823086068604032,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type F dax rods is 350 centimeters. Compared only to that 350-centimeter length standard for Type F dax rods, an overall length of 25 centimeters counts as",12a769b6951e35bb,68,-2.639057329615259,1,b,-0.4157467583177235,final_prompt_token,350.0,25 centimeters,67,25.0,fictional_semantic_adjective_counts
Type C dax rods,0.8627492516077899,huge,3.0,1.822909633000809,size-v2-fictional_semantic-p0200-Type_C_dax_rods-vs-Type_E_dax_rods,large,2.0,1.4696759700589417,0.08923769940525572,0.6468514149444676,0.26149370489610657,0.00241718075417,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type C dax rods is 46 centimeters. Compared only to that 46-centimeter length standard for Type C dax rods, an overall length of 200 centimeters counts as",1503a17ad137239f,67,1.4696759700589417,2,a,0.47217822869944676,final_prompt_token,46.0,200 centimeters,66,200.0,fictional_semantic_adjective_counts
Type F dax rods,0.6765096301705762,tiny,0.0,1.2972289972233104,size-v2-fictional_semantic-p0015-Type_A_dax_rods-vs-Type_F_dax_rods,small,1.0,-3.1498829533812494,0.0030378724438198963,0.29974364375201,0.6886280923878308,0.008590391416339273,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type F dax rods is 350 centimeters. Compared only to that 350-centimeter length standard for Type F dax rods, an overall length of 15 centimeters counts as",18452e98ee0f53a9,68,-3.1498829533812494,3,b,-0.39443696760834024,final_prompt_token,350.0,15 centimeters,67,15.0,fictional_semantic_adjective_counts
Type A dax rods,0.7498009290135581,huge,3.0,1.7992809608725169,size-v2-fictional_semantic-p0060-Type_A_dax_rods-vs-Type_C_dax_rods,large,2.0,4.0943445622221,0.045986355831969444,0.7119413016145038,0.23743929014760096,0.004633052405925908,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type A dax rods is 1 centimeter. Compared only to that 1-centimeter length standard for Type A dax rods, an overall length of 60 centimeters counts as",1976a69a938f95e6,64,4.0943445622221,4,a,0.5158553148929463,final_prompt_token,1.0,60 centimeters,63,60.0,fictional_semantic_adjective_counts
Type A dax rods,0.8359321566504473,huge,3.0,1.7074967646333077,size-v2-fictional_semantic-p0500-Type_F_dax_rods-vs-Type_A_dax_rods,large,2.0,6.214608098422191,0.045505042658410676,0.6237673121458052,0.3234470123664656,0.007280632829318734,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type A dax rods is 1 centimeter. Compared only to that 1-centimeter length standard for Type A dax rods, an overall length of 500 centimeters counts as",1aae7cd13e315e08,65,6.214608098422191,5,b,0.3385447096084315,final_prompt_token,1.0,500 centimeters,64,500.0,fictional_semantic_adjective_counts
Type E dax rods,0.7403685458082288,tiny,0.0,1.5561391650535916,size-v2-fictional_semantic-p0025-Type_A_dax_rods-vs-Type_E_dax_rods,large,2.0,-1.916922612182061,0.007271045022728079,0.54376967507582,0.4467866798337674,0.002172600067684588,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type E dax rods is 170 centimeters. Compared only to that 170-centimeter length standard for Type E dax rods, an overall length of 25 centimeters counts as",1cd084b96caa7077,68,-1.916922612182061,6,b,0.10208144019709608,final_prompt_token,170.0,25 centimeters,67,25.0,fictional_semantic_adjective_counts
Type B dax rods,0.6982724689470329,huge,3.0,1.75883856528425,size-v2-fictional_semantic-p0090-Type_B_dax_rods-vs-Type_C_dax_rods,large,2.0,2.302585092994046,0.024894028502887765,0.7111767340948546,0.26180301158587765,0.0021262258163798928,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type B dax rods is 9 centimeters. Compared only to that 9-centimeter length standard for Type B dax rods, an overall length of 90 centimeters counts as",25698438ec5c3988,64,2.302585092994046,7,a,0.47214152519548486,final_prompt_token,9.0,90 centimeters,63,90.0,fictional_semantic_adjective_counts
Type D dax rods,0.691070885866821,tiny,0.0,1.3215851428309673,size-v2-fictional_semantic-p0008-Type_A_dax_rods-vs-Type_D_dax_rods,small,1.0,-2.0149030205422647,0.01035781177457148,0.304490373186099,0.6815309611350547,0.003620853904274773,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type D dax rods is 60 centimeters. Compared only to that 60-centimeter length standard for Type D dax rods, an overall length of 8 centimeters counts as",2988fa97a98177c2,65,-2.0149030205422647,8,b,-0.3703036300786591,final_prompt_token,60.0,8 centimeters,64,8.0,fictional_semantic_adjective_counts
Type E dax rods,0.6710089438869273,tiny,0.0,1.316686060548989,size-v2-fictional_semantic-p0003-Type_E_dax_rods-vs-Type_A_dax_rods,small,1.0,-4.037186148382152,0.003254749351637697,0.3147594477017438,0.6774029170905882,0.004582885856030431,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type E dax rods is 170 centimeters. Compared only to that 170-centimeter length standard for Type E dax rods, an overall length of 3 centimeters counts as",2bcf4ddacdd20105,67,-4.037186148382152,9,a,-0.36397160589323707,final_prompt_token,170.0,3 centimeters,66,3.0,fictional_semantic_adjective_counts
