a_expected_label,a_prompt,b_expected_label,b_prompt,comparison_a,comparison_b,control_type,delta_a,delta_b,design,dimension,is_artificial_norm,is_borderline,pair_flipped,pair_id,pair_orientation_base_key,predicate_family,scale_type,source,standard_a,standard_b,standard_type,target,type,unit,value
cold,"The normal temperature for room air is 21 degrees Celsius. Compared only to that 21-degree baseline for room air, a temperature of -30 degrees Celsius feels",cool,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of -30 degrees Celsius feels",room air,freezer air,standard_explicit,-51,-12,same_scalar_different_explicit_standard_balanced_orientation,temperature,False,False,True,temp-v1_2-m030-room_air-vs-freezer_air,temp-v1_2-m030-freezer_air-vs-room_air,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_2,21,-18,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,celsius,-30
cold,"The normal temperature for swimming-pool water is 27 degrees Celsius. Compared only to that 27-degree baseline for swimming-pool water, a temperature of -30 degrees Celsius feels",cool,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of -30 degrees Celsius feels",swimming-pool water,freezer air,standard_explicit,-57,-12,same_scalar_different_explicit_standard_balanced_orientation,temperature,False,False,True,temp-v1_2-m030-swimming_pool_water-vs-freezer_air,temp-v1_2-m030-freezer_air-vs-swimming_pool_water,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_2,27,-18,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,celsius,-30
cold,"The normal temperature for bath water is 38 degrees Celsius. Compared only to that 38-degree baseline for bath water, a temperature of -30 degrees Celsius feels",cool,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of -30 degrees Celsius feels",bath water,freezer air,standard_explicit,-68,-12,same_scalar_different_explicit_standard_balanced_orientation,temperature,False,False,True,temp-v1_2-m030-bath_water-vs-freezer_air,temp-v1_2-m030-freezer_air-vs-bath_water,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_2,38,-18,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,celsius,-30
cool,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of -30 degrees Celsius feels",cold,"The normal temperature for freshly served tea is 80 degrees Celsius. Compared only to that 80-degree baseline for freshly served tea, a temperature of -30 degrees Celsius feels",freezer air,freshly served tea,standard_explicit,-12,-110,same_scalar_different_explicit_standard_balanced_orientation,temperature,False,False,False,temp-v1_2-m030-freezer_air-vs-freshly_served_tea,temp-v1_2-m030-freezer_air-vs-freshly_served_tea,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_2,-18,80,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,celsius,-30
cool,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of -30 degrees Celsius feels",cold,"The normal temperature for heated oven air is 180 degrees Celsius. Compared only to that 180-degree baseline for heated oven air, a temperature of -30 degrees Celsius feels",freezer air,heated oven air,standard_explicit,-12,-210,same_scalar_different_explicit_standard_balanced_orientation,temperature,False,False,False,temp-v1_2-m030-freezer_air-vs-heated_oven_air,temp-v1_2-m030-freezer_air-vs-heated_oven_air,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_2,-18,180,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,celsius,-30
cold,"The normal temperature for room air is 21 degrees Celsius. Compared only to that 21-degree baseline for room air, a temperature of -10 degrees Celsius feels",warm,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of -10 degrees Celsius feels",room air,freezer air,standard_explicit,-31,8,same_scalar_different_explicit_standard_balanced_orientation,temperature,False,False,True,temp-v1_2-m010-room_air-vs-freezer_air,temp-v1_2-m010-freezer_air-vs-room_air,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_2,21,-18,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,celsius,-10
warm,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of -10 degrees Celsius feels",cold,"The normal temperature for swimming-pool water is 27 degrees Celsius. Compared only to that 27-degree baseline for swimming-pool water, a temperature of -10 degrees Celsius feels",freezer air,swimming-pool water,standard_explicit,8,-37,same_scalar_different_explicit_standard_balanced_orientation,temperature,False,False,False,temp-v1_2-m010-freezer_air-vs-swimming_pool_water,temp-v1_2-m010-freezer_air-vs-swimming_pool_water,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_2,-18,27,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,celsius,-10
cold,"The normal temperature for bath water is 38 degrees Celsius. Compared only to that 38-degree baseline for bath water, a temperature of -10 degrees Celsius feels",warm,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of -10 degrees Celsius feels",bath water,freezer air,standard_explicit,-48,8,same_scalar_different_explicit_standard_balanced_orientation,temperature,False,False,True,temp-v1_2-m010-bath_water-vs-freezer_air,temp-v1_2-m010-freezer_air-vs-bath_water,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_2,38,-18,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,celsius,-10
warm,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of -10 degrees Celsius feels",cold,"The normal temperature for freshly served tea is 80 degrees Celsius. Compared only to that 80-degree baseline for freshly served tea, a temperature of -10 degrees Celsius feels",freezer air,freshly served tea,standard_explicit,8,-90,same_scalar_different_explicit_standard_balanced_orientation,temperature,False,False,False,temp-v1_2-m010-freezer_air-vs-freshly_served_tea,temp-v1_2-m010-freezer_air-vs-freshly_served_tea,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_2,-18,80,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,celsius,-10
cold,"The normal temperature for heated oven air is 180 degrees Celsius. Compared only to that 180-degree baseline for heated oven air, a temperature of -10 degrees Celsius feels",warm,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of -10 degrees Celsius feels",heated oven air,freezer air,standard_explicit,-190,8,same_scalar_different_explicit_standard_balanced_orientation,temperature,False,False,True,temp-v1_2-m010-heated_oven_air-vs-freezer_air,temp-v1_2-m010-freezer_air-vs-heated_oven_air,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_2,180,-18,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,celsius,-10
