a_expected_label,a_prompt,b_expected_label,b_prompt,comparison_a,comparison_b,context_type,control_type,design,dimension,has_semantic_scaffold,is_artificial_norm,is_borderline,is_counter_natural,label_order,log_ratio_a,log_ratio_b,pair_flipped,pair_id,pair_orientation_base_key,predicate_family,ratio_a,ratio_b,ratio_bucket_a,ratio_bucket_b,readout_family,regime,scale_type,source,standard_a,standard_b,standard_type,target,type,unit,value
longer_than_normal,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type A dax rods is 1 centimeter. Compared only to that 1-centimeter length standard for Type A dax rods, an overall length of 3 centimeters is",shorter_than_normal,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type B dax rods is 9 centimeters. Compared only to that 9-centimeter length standard for Type B dax rods, an overall length of 3 centimeters is",Type A dax rods,Type B dax rods,fictional_semantic_scaffold,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,False,"shorter_than_normal,longer_than_normal",1.0986122886681098,-1.0986122886681098,False,size-v2-fictional_semantic-p0003-Type_A_dax_rods-vs-Type_B_dax_rods,size-v2-fictional_semantic-comparative2-p0003-Type_A_dax_rods-vs-Type_B_dax_rods,comparative2,3.0,0.3333333333333333,3,0.333333,comparative2,fictional_semantic,relative_open_size,bierwisch_kennedy_size_v2_fictional_semantic,1,9,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
shorter_than_normal,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type C dax rods is 46 centimeters. Compared only to that 46-centimeter length standard for Type C dax rods, an overall length of 3 centimeters is",longer_than_normal,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type A dax rods is 1 centimeter. Compared only to that 1-centimeter length standard for Type A dax rods, an overall length of 3 centimeters is",Type C dax rods,Type A dax rods,fictional_semantic_scaffold,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,False,"shorter_than_normal,longer_than_normal",-2.7300291078209855,1.0986122886681098,True,size-v2-fictional_semantic-p0003-Type_C_dax_rods-vs-Type_A_dax_rods,size-v2-fictional_semantic-comparative2-p0003-Type_A_dax_rods-vs-Type_C_dax_rods,comparative2,0.06521739130434782,3.0,0.0652174,3,comparative2,fictional_semantic,relative_open_size,bierwisch_kennedy_size_v2_fictional_semantic,46,1,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
shorter_than_normal,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type D dax rods is 60 centimeters. Compared only to that 60-centimeter length standard for Type D dax rods, an overall length of 3 centimeters is",longer_than_normal,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type A dax rods is 1 centimeter. Compared only to that 1-centimeter length standard for Type A dax rods, an overall length of 3 centimeters is",Type D dax rods,Type A dax rods,fictional_semantic_scaffold,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,False,"shorter_than_normal,longer_than_normal",-2.995732273553991,1.0986122886681098,True,size-v2-fictional_semantic-p0003-Type_D_dax_rods-vs-Type_A_dax_rods,size-v2-fictional_semantic-comparative2-p0003-Type_A_dax_rods-vs-Type_D_dax_rods,comparative2,0.05,3.0,0.05,3,comparative2,fictional_semantic,relative_open_size,bierwisch_kennedy_size_v2_fictional_semantic,60,1,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
shorter_than_normal,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type E dax rods is 170 centimeters. Compared only to that 170-centimeter length standard for Type E dax rods, an overall length of 3 centimeters is",longer_than_normal,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type A dax rods is 1 centimeter. Compared only to that 1-centimeter length standard for Type A dax rods, an overall length of 3 centimeters is",Type E dax rods,Type A dax rods,fictional_semantic_scaffold,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,False,"shorter_than_normal,longer_than_normal",-4.037186148382152,1.0986122886681098,True,size-v2-fictional_semantic-p0003-Type_E_dax_rods-vs-Type_A_dax_rods,size-v2-fictional_semantic-comparative2-p0003-Type_A_dax_rods-vs-Type_E_dax_rods,comparative2,0.01764705882352941,3.0,0.0176471,3,comparative2,fictional_semantic,relative_open_size,bierwisch_kennedy_size_v2_fictional_semantic,170,1,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
shorter_than_normal,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type F dax rods is 350 centimeters. Compared only to that 350-centimeter length standard for Type F dax rods, an overall length of 3 centimeters is",longer_than_normal,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type A dax rods is 1 centimeter. Compared only to that 1-centimeter length standard for Type A dax rods, an overall length of 3 centimeters is",Type F dax rods,Type A dax rods,fictional_semantic_scaffold,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,False,"shorter_than_normal,longer_than_normal",-4.75932086581535,1.0986122886681098,True,size-v2-fictional_semantic-p0003-Type_F_dax_rods-vs-Type_A_dax_rods,size-v2-fictional_semantic-comparative2-p0003-Type_A_dax_rods-vs-Type_F_dax_rods,comparative2,0.008571428571428572,3.0,0.00857143,3,comparative2,fictional_semantic,relative_open_size,bierwisch_kennedy_size_v2_fictional_semantic,350,1,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
shorter_than_normal,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type C dax rods is 46 centimeters. Compared only to that 46-centimeter length standard for Type C dax rods, an overall length of 8 centimeters is",longer_than_normal,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type A dax rods is 1 centimeter. Compared only to that 1-centimeter length standard for Type A dax rods, an overall length of 8 centimeters is",Type C dax rods,Type A dax rods,fictional_semantic_scaffold,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,False,"shorter_than_normal,longer_than_normal",-1.749199854809259,2.0794415416798357,True,size-v2-fictional_semantic-p0008-Type_C_dax_rods-vs-Type_A_dax_rods,size-v2-fictional_semantic-comparative2-p0008-Type_A_dax_rods-vs-Type_C_dax_rods,comparative2,0.17391304347826086,8.0,0.173913,8,comparative2,fictional_semantic,relative_open_size,bierwisch_kennedy_size_v2_fictional_semantic,46,1,comparison_class_explicit,8 centimeters,gradable_scalar,centimeters,8
shorter_than_normal,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type D dax rods is 60 centimeters. Compared only to that 60-centimeter length standard for Type D dax rods, an overall length of 8 centimeters is",longer_than_normal,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type A dax rods is 1 centimeter. Compared only to that 1-centimeter length standard for Type A dax rods, an overall length of 8 centimeters is",Type D dax rods,Type A dax rods,fictional_semantic_scaffold,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,False,"shorter_than_normal,longer_than_normal",-2.0149030205422647,2.0794415416798357,True,size-v2-fictional_semantic-p0008-Type_D_dax_rods-vs-Type_A_dax_rods,size-v2-fictional_semantic-comparative2-p0008-Type_A_dax_rods-vs-Type_D_dax_rods,comparative2,0.13333333333333333,8.0,0.133333,8,comparative2,fictional_semantic,relative_open_size,bierwisch_kennedy_size_v2_fictional_semantic,60,1,comparison_class_explicit,8 centimeters,gradable_scalar,centimeters,8
longer_than_normal,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type A dax rods is 1 centimeter. Compared only to that 1-centimeter length standard for Type A dax rods, an overall length of 8 centimeters is",shorter_than_normal,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type E dax rods is 170 centimeters. Compared only to that 170-centimeter length standard for Type E dax rods, an overall length of 8 centimeters is",Type A dax rods,Type E dax rods,fictional_semantic_scaffold,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,False,"shorter_than_normal,longer_than_normal",2.0794415416798357,-3.056356895370426,False,size-v2-fictional_semantic-p0008-Type_A_dax_rods-vs-Type_E_dax_rods,size-v2-fictional_semantic-comparative2-p0008-Type_A_dax_rods-vs-Type_E_dax_rods,comparative2,8.0,0.047058823529411764,8,0.0470588,comparative2,fictional_semantic,relative_open_size,bierwisch_kennedy_size_v2_fictional_semantic,1,170,comparison_class_explicit,8 centimeters,gradable_scalar,centimeters,8
longer_than_normal,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type A dax rods is 1 centimeter. Compared only to that 1-centimeter length standard for Type A dax rods, an overall length of 8 centimeters is",shorter_than_normal,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type F dax rods is 350 centimeters. Compared only to that 350-centimeter length standard for Type F dax rods, an overall length of 8 centimeters is",Type A dax rods,Type F dax rods,fictional_semantic_scaffold,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,False,"shorter_than_normal,longer_than_normal",2.0794415416798357,-3.7784916128036232,False,size-v2-fictional_semantic-p0008-Type_A_dax_rods-vs-Type_F_dax_rods,size-v2-fictional_semantic-comparative2-p0008-Type_A_dax_rods-vs-Type_F_dax_rods,comparative2,8.0,0.022857142857142857,8,0.0228571,comparative2,fictional_semantic,relative_open_size,bierwisch_kennedy_size_v2_fictional_semantic,1,350,comparison_class_explicit,8 centimeters,gradable_scalar,centimeters,8
longer_than_normal,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type A dax rods is 1 centimeter. Compared only to that 1-centimeter length standard for Type A dax rods, an overall length of 15 centimeters is",shorter_than_normal,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type C dax rods is 46 centimeters. Compared only to that 46-centimeter length standard for Type C dax rods, an overall length of 15 centimeters is",Type A dax rods,Type C dax rods,fictional_semantic_scaffold,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,False,"shorter_than_normal,longer_than_normal",2.70805020110221,-1.120591195386885,False,size-v2-fictional_semantic-p0015-Type_A_dax_rods-vs-Type_C_dax_rods,size-v2-fictional_semantic-comparative2-p0015-Type_A_dax_rods-vs-Type_C_dax_rods,comparative2,15.0,0.32608695652173914,15,0.326087,comparative2,fictional_semantic,relative_open_size,bierwisch_kennedy_size_v2_fictional_semantic,1,46,comparison_class_explicit,15 centimeters,gradable_scalar,centimeters,15
