a_expected_label,a_prompt,b_expected_label,b_prompt,comparison_a,comparison_b,context_type,control_type,design,dimension,is_artificial_norm,is_borderline,log_ratio_a,log_ratio_b,pair_flipped,pair_id,pair_orientation_base_key,predicate_family,ratio_a,ratio_b,ratio_bucket_a,ratio_bucket_b,regime,scale_type,source,standard_a,standard_b,standard_type,target,type,unit,value
tiny,"The normal body length for ant-like objects in the toy lab is 300 centimeters. Compared only to that 300-centimeter baseline for ant-like objects in the toy lab, a body length of 25 centimeters feels",small,"The normal body length for elephant-like objects in the toy lab is 30 centimeters. Compared only to that 30-centimeter baseline for elephant-like objects in the toy lab, a body length of 25 centimeters feels",ant-like objects in the toy lab,elephant-like objects in the toy lab,artificial_inverted_world_anchor,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,-2.4849066497880004,-0.1823215567939546,False,size-v2-artificial-p0025-ant_like_objects_in_the_toy_lab-vs-elephant_like_objects_in_the_toy_lab,size-v2-artificial-p0025-ant_like_objects_in_the_toy_lab-vs-elephant_like_objects_in_the_toy_lab,tiny_huge,0.08333333333333333,0.8333333333333334,0.0833333,0.833333,artificial,relative_open_size,bierwisch_kennedy_size_v2_artificial,300,30,comparison_class_explicit,25 centimeters,gradable_scalar,centimeters,25
small,"The normal body length for elephant-like objects in the toy lab is 30 centimeters. Compared only to that 30-centimeter baseline for elephant-like objects in the toy lab, a body length of 25 centimeters feels",tiny,"The normal body length for mouse-like objects in the toy lab is 170 centimeters. Compared only to that 170-centimeter baseline for mouse-like objects in the toy lab, a body length of 25 centimeters feels",elephant-like objects in the toy lab,mouse-like objects in the toy lab,artificial_inverted_world_anchor,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,-0.1823215567939546,-1.916922612182061,True,size-v2-artificial-p0025-elephant_like_objects_in_the_toy_lab-vs-mouse_like_objects_in_the_toy_lab,size-v2-artificial-p0025-mouse_like_objects_in_the_toy_lab-vs-elephant_like_objects_in_the_toy_lab,tiny_huge,0.8333333333333334,0.14705882352941177,0.833333,0.147059,artificial,relative_open_size,bierwisch_kennedy_size_v2_artificial,30,170,comparison_class_explicit,25 centimeters,gradable_scalar,centimeters,25
small,"The normal body length for elephant-like objects in the toy lab is 30 centimeters. Compared only to that 30-centimeter baseline for elephant-like objects in the toy lab, a body length of 25 centimeters feels",tiny,"The normal body length for human-like objects in the toy lab is 60 centimeters. Compared only to that 60-centimeter baseline for human-like objects in the toy lab, a body length of 25 centimeters feels",elephant-like objects in the toy lab,human-like objects in the toy lab,artificial_inverted_world_anchor,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,-0.1823215567939546,-0.8754687373538999,True,size-v2-artificial-p0025-elephant_like_objects_in_the_toy_lab-vs-human_like_objects_in_the_toy_lab,size-v2-artificial-p0025-human_like_objects_in_the_toy_lab-vs-elephant_like_objects_in_the_toy_lab,tiny_huge,0.8333333333333334,0.4166666666666667,0.833333,0.416667,artificial,relative_open_size,bierwisch_kennedy_size_v2_artificial,30,60,comparison_class_explicit,25 centimeters,gradable_scalar,centimeters,25
small,"The normal body length for human-like objects in the toy lab is 60 centimeters. Compared only to that 60-centimeter baseline for human-like objects in the toy lab, a body length of 40 centimeters feels",tiny,"The normal body length for ant-like objects in the toy lab is 300 centimeters. Compared only to that 300-centimeter baseline for ant-like objects in the toy lab, a body length of 40 centimeters feels",human-like objects in the toy lab,ant-like objects in the toy lab,artificial_inverted_world_anchor,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,-0.40546510810816444,-2.0149030205422647,True,size-v2-artificial-p0040-human_like_objects_in_the_toy_lab-vs-ant_like_objects_in_the_toy_lab,size-v2-artificial-p0040-ant_like_objects_in_the_toy_lab-vs-human_like_objects_in_the_toy_lab,tiny_huge,0.6666666666666666,0.13333333333333333,0.666667,0.133333,artificial,relative_open_size,bierwisch_kennedy_size_v2_artificial,60,300,comparison_class_explicit,40 centimeters,gradable_scalar,centimeters,40
tiny,"The normal body length for ant-like objects in the toy lab is 300 centimeters. Compared only to that 300-centimeter baseline for ant-like objects in the toy lab, a body length of 40 centimeters feels",large,"The normal body length for elephant-like objects in the toy lab is 30 centimeters. Compared only to that 30-centimeter baseline for elephant-like objects in the toy lab, a body length of 40 centimeters feels",ant-like objects in the toy lab,elephant-like objects in the toy lab,artificial_inverted_world_anchor,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,-2.0149030205422647,0.28768207245178085,False,size-v2-artificial-p0040-ant_like_objects_in_the_toy_lab-vs-elephant_like_objects_in_the_toy_lab,size-v2-artificial-p0040-ant_like_objects_in_the_toy_lab-vs-elephant_like_objects_in_the_toy_lab,tiny_huge,0.13333333333333333,1.3333333333333333,0.133333,1.33333,artificial,relative_open_size,bierwisch_kennedy_size_v2_artificial,300,30,comparison_class_explicit,40 centimeters,gradable_scalar,centimeters,40
small,"The normal body length for human-like objects in the toy lab is 60 centimeters. Compared only to that 60-centimeter baseline for human-like objects in the toy lab, a body length of 40 centimeters feels",tiny,"The normal body length for mouse-like objects in the toy lab is 170 centimeters. Compared only to that 170-centimeter baseline for mouse-like objects in the toy lab, a body length of 40 centimeters feels",human-like objects in the toy lab,mouse-like objects in the toy lab,artificial_inverted_world_anchor,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,-0.40546510810816444,-1.4469189829363254,True,size-v2-artificial-p0040-human_like_objects_in_the_toy_lab-vs-mouse_like_objects_in_the_toy_lab,size-v2-artificial-p0040-mouse_like_objects_in_the_toy_lab-vs-human_like_objects_in_the_toy_lab,tiny_huge,0.6666666666666666,0.23529411764705882,0.666667,0.235294,artificial,relative_open_size,bierwisch_kennedy_size_v2_artificial,60,170,comparison_class_explicit,40 centimeters,gradable_scalar,centimeters,40
large,"The normal body length for elephant-like objects in the toy lab is 30 centimeters. Compared only to that 30-centimeter baseline for elephant-like objects in the toy lab, a body length of 40 centimeters feels",tiny,"The normal body length for mouse-like objects in the toy lab is 170 centimeters. Compared only to that 170-centimeter baseline for mouse-like objects in the toy lab, a body length of 40 centimeters feels",elephant-like objects in the toy lab,mouse-like objects in the toy lab,artificial_inverted_world_anchor,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,0.28768207245178085,-1.4469189829363254,True,size-v2-artificial-p0040-elephant_like_objects_in_the_toy_lab-vs-mouse_like_objects_in_the_toy_lab,size-v2-artificial-p0040-mouse_like_objects_in_the_toy_lab-vs-elephant_like_objects_in_the_toy_lab,tiny_huge,1.3333333333333333,0.23529411764705882,1.33333,0.235294,artificial,relative_open_size,bierwisch_kennedy_size_v2_artificial,30,170,comparison_class_explicit,40 centimeters,gradable_scalar,centimeters,40
large,"The normal body length for elephant-like objects in the toy lab is 30 centimeters. Compared only to that 30-centimeter baseline for elephant-like objects in the toy lab, a body length of 40 centimeters feels",small,"The normal body length for human-like objects in the toy lab is 60 centimeters. Compared only to that 60-centimeter baseline for human-like objects in the toy lab, a body length of 40 centimeters feels",elephant-like objects in the toy lab,human-like objects in the toy lab,artificial_inverted_world_anchor,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,0.28768207245178085,-0.40546510810816444,True,size-v2-artificial-p0040-elephant_like_objects_in_the_toy_lab-vs-human_like_objects_in_the_toy_lab,size-v2-artificial-p0040-human_like_objects_in_the_toy_lab-vs-elephant_like_objects_in_the_toy_lab,tiny_huge,1.3333333333333333,0.6666666666666666,1.33333,0.666667,artificial,relative_open_size,bierwisch_kennedy_size_v2_artificial,30,60,comparison_class_explicit,40 centimeters,gradable_scalar,centimeters,40
tiny,"The normal body length for ant-like objects in the toy lab is 300 centimeters. Compared only to that 300-centimeter baseline for ant-like objects in the toy lab, a body length of 60 centimeters feels",huge,"The normal body length for elephant-like objects in the toy lab is 30 centimeters. Compared only to that 30-centimeter baseline for elephant-like objects in the toy lab, a body length of 60 centimeters feels",ant-like objects in the toy lab,elephant-like objects in the toy lab,artificial_inverted_world_anchor,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,-1.6094379124341003,0.6931471805599453,False,size-v2-artificial-p0060-ant_like_objects_in_the_toy_lab-vs-elephant_like_objects_in_the_toy_lab,size-v2-artificial-p0060-ant_like_objects_in_the_toy_lab-vs-elephant_like_objects_in_the_toy_lab,tiny_huge,0.2,2.0,0.2,2,artificial,relative_open_size,bierwisch_kennedy_size_v2_artificial,300,30,comparison_class_explicit,60 centimeters,gradable_scalar,centimeters,60
tiny,"The normal body length for mouse-like objects in the toy lab is 170 centimeters. Compared only to that 170-centimeter baseline for mouse-like objects in the toy lab, a body length of 60 centimeters feels",huge,"The normal body length for elephant-like objects in the toy lab is 30 centimeters. Compared only to that 30-centimeter baseline for elephant-like objects in the toy lab, a body length of 60 centimeters feels",mouse-like objects in the toy lab,elephant-like objects in the toy lab,artificial_inverted_world_anchor,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,-1.041453874828161,0.6931471805599453,False,size-v2-artificial-p0060-mouse_like_objects_in_the_toy_lab-vs-elephant_like_objects_in_the_toy_lab,size-v2-artificial-p0060-mouse_like_objects_in_the_toy_lab-vs-elephant_like_objects_in_the_toy_lab,tiny_huge,0.35294117647058826,2.0,0.352941,2,artificial,relative_open_size,bierwisch_kennedy_size_v2_artificial,170,30,comparison_class_explicit,60 centimeters,gradable_scalar,centimeters,60
