a_expected_label,a_prompt,b_expected_label,b_prompt,comparison_a,comparison_b,control_type,design,dimension,is_artificial_norm,is_borderline,pair_flipped,pair_id,pair_orientation_base_key,predicate_family,ratio_a,ratio_b,scale_type,source,standard_a,standard_b,standard_type,target,type,unit,value
youthful,"The normal lifespan for a domestic dog is 12 years. Compared only to that 12-year baseline for a domestic dog, an individual aged 3 years feels",old,"The normal lifespan for a domestic mouse is 2 years. Compared only to that 2-year baseline for a domestic mouse, an individual aged 3 years feels",a domestic dog,a domestic mouse,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation,age,False,False,True,age-v1_2-p0003-a_domestic_dog-vs-a_domestic_mouse,age-v1_2-p0003-a_domestic_mouse-vs-a_domestic_dog,young_old,0.25,1.5,relative_open_age,bierwisch_kennedy_age_v1_2,12,2,comparison_class_explicit,3 years,gradable_scalar,years,3
young,"The normal lifespan for a horse is 28 years. Compared only to that 28-year baseline for a horse, an individual aged 3 years feels",old,"The normal lifespan for a domestic mouse is 2 years. Compared only to that 2-year baseline for a domestic mouse, an individual aged 3 years feels",a horse,a domestic mouse,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation,age,False,False,True,age-v1_2-p0003-a_horse-vs-a_domestic_mouse,age-v1_2-p0003-a_domestic_mouse-vs-a_horse,young_old,0.10714285714285714,1.5,relative_open_age,bierwisch_kennedy_age_v1_2,28,2,comparison_class_explicit,3 years,gradable_scalar,years,3
old,"The normal lifespan for a domestic mouse is 2 years. Compared only to that 2-year baseline for a domestic mouse, an individual aged 3 years feels",young,"The normal lifespan for a human is 80 years. Compared only to that 80-year baseline for a human, an individual aged 3 years feels",a domestic mouse,a human,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation,age,False,False,False,age-v1_2-p0003-a_domestic_mouse-vs-a_human,age-v1_2-p0003-a_domestic_mouse-vs-a_human,young_old,1.5,0.0375,relative_open_age,bierwisch_kennedy_age_v1_2,2,80,comparison_class_explicit,3 years,gradable_scalar,years,3
young,"The normal lifespan for a galapagos tortoise is 150 years. Compared only to that 150-year baseline for a galapagos tortoise, an individual aged 3 years feels",old,"The normal lifespan for a domestic mouse is 2 years. Compared only to that 2-year baseline for a domestic mouse, an individual aged 3 years feels",a galapagos tortoise,a domestic mouse,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation,age,False,False,True,age-v1_2-p0003-a_galapagos_tortoise-vs-a_domestic_mouse,age-v1_2-p0003-a_domestic_mouse-vs-a_galapagos_tortoise,young_old,0.02,1.5,relative_open_age,bierwisch_kennedy_age_v1_2,150,2,comparison_class_explicit,3 years,gradable_scalar,years,3
young,"The normal lifespan for a bowhead whale is 200 years. Compared only to that 200-year baseline for a bowhead whale, an individual aged 3 years feels",old,"The normal lifespan for a domestic mouse is 2 years. Compared only to that 2-year baseline for a domestic mouse, an individual aged 3 years feels",a bowhead whale,a domestic mouse,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation,age,False,False,True,age-v1_2-p0003-a_bowhead_whale-vs-a_domestic_mouse,age-v1_2-p0003-a_domestic_mouse-vs-a_bowhead_whale,young_old,0.015,1.5,relative_open_age,bierwisch_kennedy_age_v1_2,200,2,comparison_class_explicit,3 years,gradable_scalar,years,3
young,"The normal lifespan for a horse is 28 years. Compared only to that 28-year baseline for a horse, an individual aged 3 years feels",youthful,"The normal lifespan for a domestic dog is 12 years. Compared only to that 12-year baseline for a domestic dog, an individual aged 3 years feels",a horse,a domestic dog,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation,age,False,False,True,age-v1_2-p0003-a_horse-vs-a_domestic_dog,age-v1_2-p0003-a_domestic_dog-vs-a_horse,young_old,0.10714285714285714,0.25,relative_open_age,bierwisch_kennedy_age_v1_2,28,12,comparison_class_explicit,3 years,gradable_scalar,years,3
young,"The normal lifespan for a human is 80 years. Compared only to that 80-year baseline for a human, an individual aged 3 years feels",youthful,"The normal lifespan for a domestic dog is 12 years. Compared only to that 12-year baseline for a domestic dog, an individual aged 3 years feels",a human,a domestic dog,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation,age,False,False,True,age-v1_2-p0003-a_human-vs-a_domestic_dog,age-v1_2-p0003-a_domestic_dog-vs-a_human,young_old,0.0375,0.25,relative_open_age,bierwisch_kennedy_age_v1_2,80,12,comparison_class_explicit,3 years,gradable_scalar,years,3
young,"The normal lifespan for a galapagos tortoise is 150 years. Compared only to that 150-year baseline for a galapagos tortoise, an individual aged 3 years feels",youthful,"The normal lifespan for a domestic dog is 12 years. Compared only to that 12-year baseline for a domestic dog, an individual aged 3 years feels",a galapagos tortoise,a domestic dog,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation,age,False,False,True,age-v1_2-p0003-a_galapagos_tortoise-vs-a_domestic_dog,age-v1_2-p0003-a_domestic_dog-vs-a_galapagos_tortoise,young_old,0.02,0.25,relative_open_age,bierwisch_kennedy_age_v1_2,150,12,comparison_class_explicit,3 years,gradable_scalar,years,3
youthful,"The normal lifespan for a domestic dog is 12 years. Compared only to that 12-year baseline for a domestic dog, an individual aged 3 years feels",young,"The normal lifespan for a bowhead whale is 200 years. Compared only to that 200-year baseline for a bowhead whale, an individual aged 3 years feels",a domestic dog,a bowhead whale,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation,age,False,False,False,age-v1_2-p0003-a_domestic_dog-vs-a_bowhead_whale,age-v1_2-p0003-a_domestic_dog-vs-a_bowhead_whale,young_old,0.25,0.015,relative_open_age,bierwisch_kennedy_age_v1_2,12,200,comparison_class_explicit,3 years,gradable_scalar,years,3
youthful,"The normal lifespan for a horse is 28 years. Compared only to that 28-year baseline for a horse, an individual aged 6 years feels",old,"The normal lifespan for a domestic mouse is 2 years. Compared only to that 2-year baseline for a domestic mouse, an individual aged 6 years feels",a horse,a domestic mouse,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation,age,False,False,True,age-v1_2-p0006-a_horse-vs-a_domestic_mouse,age-v1_2-p0006-a_domestic_mouse-vs-a_horse,young_old,0.21428571428571427,3.0,relative_open_age,bierwisch_kennedy_age_v1_2,28,2,comparison_class_explicit,6 years,gradable_scalar,years,6
