comparison_a,comparison_b,control_type,correct,design,dimension,entropy,expected_label,expected_label_index,is_artificial_norm,is_borderline,logscore_huge,logscore_large,logscore_small,logscore_tiny,margin,ordered_label_score,pair_id,pred_label,pred_label_index,predicate_family,prob_huge,prob_large,prob_small,prob_tiny,prompt,scale_type,side,source,standard_type,target,type,unit,value
an ant,a house mouse,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,0.6929863544768098,huge,3.0,False,False,-11.035061836242676,-10.147560119628906,-8.04199504852295,-10.708100318908691,-2.9930667877197266,1.1228590712732127,size-v1_3c-p0003-an_ant-vs-a_house_mouse,small,1.0,tiny_huge,0.04038354191540751,0.09809378788440747,0.8055208697581755,0.05600180044200959,"For an ant, normal is 1 centimeters. Compared to that, 3 centimeters is",relative_open_size,a,bierwisch_kennedy_size_v1_3_c,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
an ant,a house mouse,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,0.3089899281531173,tiny,0.0,False,False,-10.648690223693848,-9.865751266479492,-6.100252628326416,-9.39402961730957,-3.2937769889831543,1.006733052243836,size-v1_3c-p0003-an_ant-vs-a_house_mouse,small,1.0,tiny_huge,0.009883453268094323,0.02162393772283792,0.9338348169938772,0.0346577920151907,"For a house mouse, normal is 9 centimeters. Compared to that, 3 centimeters is",relative_open_size,b,bierwisch_kennedy_size_v1_3_c,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
a domestic cat,an ant,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,0.47740449055191225,tiny,0.0,False,False,-10.449339866638184,-8.945680618286133,-6.4248247146606445,-9.708944320678711,-3.2841196060180664,1.0692602453251698,size-v1_3c-p0003-a_domestic_cat-vs-an_ant,small,1.0,tiny_huge,0.01573612238348304,0.07078294675902985,0.880485984656661,0.0329949462008262,"For a domestic cat, normal is 46 centimeters. Compared to that, 3 centimeters is",relative_open_size,a,bierwisch_kennedy_size_v1_3_c,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
a domestic cat,an ant,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,0.6929863544768098,huge,3.0,False,False,-11.035061836242676,-10.147560119628906,-8.04199504852295,-10.708100318908691,-2.9930667877197266,1.1228590712732127,size-v1_3c-p0003-a_domestic_cat-vs-an_ant,small,1.0,tiny_huge,0.04038354191540751,0.09809378788440747,0.8055208697581755,0.05600180044200959,"For an ant, normal is 1 centimeters. Compared to that, 3 centimeters is",relative_open_size,b,bierwisch_kennedy_size_v1_3_c,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
a labrador dog,an ant,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,0.4924185675366074,tiny,0.0,False,False,-10.501660346984863,-9.249894142150879,-6.9179840087890625,-10.766336441040039,-3.8483524322509766,1.1145893013559935,size-v1_3c-p0003-a_labrador_dog-vs-an_ant,small,1.0,tiny_huge,0.02423089069402282,0.08472362589547686,0.8724493774829715,0.018596105927528927,"For a labrador dog, normal is 60 centimeters. Compared to that, 3 centimeters is",relative_open_size,a,bierwisch_kennedy_size_v1_3_c,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
a labrador dog,an ant,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,0.6929863544768098,huge,3.0,False,False,-11.035061836242676,-10.147560119628906,-8.04199504852295,-10.708100318908691,-2.9930667877197266,1.1228590712732127,size-v1_3c-p0003-a_labrador_dog-vs-an_ant,small,1.0,tiny_huge,0.04038354191540751,0.09809378788440747,0.8055208697581755,0.05600180044200959,"For an ant, normal is 1 centimeters. Compared to that, 3 centimeters is",relative_open_size,b,bierwisch_kennedy_size_v1_3_c,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
an ant,an adult human,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,0.6929863544768098,huge,3.0,False,False,-11.035061836242676,-10.147560119628906,-8.04199504852295,-10.708100318908691,-2.9930667877197266,1.1228590712732127,size-v1_3c-p0003-an_ant-vs-an_adult_human,small,1.0,tiny_huge,0.04038354191540751,0.09809378788440747,0.8055208697581755,0.05600180044200959,"For an ant, normal is 1 centimeters. Compared to that, 3 centimeters is",relative_open_size,a,bierwisch_kennedy_size_v1_3_c,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
an ant,an adult human,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,0.5523205196002997,tiny,0.0,False,False,-10.703968048095703,-8.855179786682129,-7.015398025512695,-11.264310836791992,-4.248912811279297,1.1624083015251134,size-v1_3c-p0003-an_ant-vs-an_adult_human,small,1.0,tiny_huge,0.020872139990927657,0.13258229093966623,0.8346272996729981,0.011918269396408065,"For an adult human, normal is 170 centimeters. Compared to that, 3 centimeters is",relative_open_size,b,bierwisch_kennedy_size_v1_3_c,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
an ant,an african elephant,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,0.6929863544768098,huge,3.0,False,False,-11.035061836242676,-10.147560119628906,-8.04199504852295,-10.708100318908691,-2.9930667877197266,1.1228590712732127,size-v1_3c-p0003-an_ant-vs-an_african_elephant,small,1.0,tiny_huge,0.04038354191540751,0.09809378788440747,0.8055208697581755,0.05600180044200959,"For an ant, normal is 1 centimeters. Compared to that, 3 centimeters is",relative_open_size,a,bierwisch_kennedy_size_v1_3_c,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
an ant,an african elephant,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,0.40172850236768975,tiny,0.0,False,False,-10.121953964233398,-10.18529987335205,-6.251986503601074,-8.99886417388916,-2.746877670288086,0.9974370128908325,size-v1_3c-p0003-an_ant-vs-an_african_elephant,small,1.0,tiny_huge,0.018884391918622546,0.017725244162429675,0.9053333488101056,0.058057015108842154,"For an african elephant, normal is 350 centimeters. Compared to that, 3 centimeters is",relative_open_size,b,bierwisch_kennedy_size_v1_3_c,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
