comparison_a,comparison_b,control_type,correct,design,dimension,entropy,expected_label,expected_label_index,is_artificial_norm,is_borderline,logscore_cold,logscore_cool,logscore_hot,logscore_warm,margin,ordered_label_score,pair_id,pred_label,pred_label_index,predicate_family,prob_cold,prob_cool,prob_hot,prob_warm,prompt,scale_type,side,source,standard_type,target,type,unit,value
room air,freezer air,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,0.9676411805818104,cold,0.0,False,False,-6.0785298347473145,-8.404707908630371,-7.676042079925537,-7.829249858856201,1.5975122451782227,0.7139529338829488,temp-v1_3c-m030-room_air-vs-freezer_air,cold,0.0,warm_cold,0.6785565171135879,0.06627347217299745,0.13733944028312198,0.11783057043029264,"For room air, normal is 21 degrees Celsius. Compared to that, -30 degrees Celsius is",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_3_c,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,Celsius,-30
room air,freezer air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,0.5514517932532579,cool,1.0,False,False,-6.381761074066162,-8.757834434509277,-9.786940574645996,-9.589442253112793,-2.3760733604431152,0.2343784399568909,temp-v1_3c-m030-room_air-vs-freezer_air,cold,0.0,warm_cold,0.8572169209641662,0.07964805707459617,0.028460338959819555,0.03467468300141804,"For freezer air, normal is -18 degrees Celsius. Compared to that, -30 degrees Celsius is",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_3_c,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,Celsius,-30
freezer air,swimming-pool water,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,0.5514517932532579,cool,1.0,False,False,-6.381761074066162,-8.757834434509277,-9.786940574645996,-9.589442253112793,-2.3760733604431152,0.2343784399568909,temp-v1_3c-m030-freezer_air-vs-swimming_pool_water,cold,0.0,warm_cold,0.8572169209641662,0.07964805707459617,0.028460338959819555,0.03467468300141804,"For freezer air, normal is -18 degrees Celsius. Compared to that, -30 degrees Celsius is",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_3_c,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,Celsius,-30
freezer air,swimming-pool water,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,0.5105237907184821,cold,0.0,False,False,-4.429430961608887,-7.845732688903809,-7.268647193908691,-7.396053314208984,2.8392162322998047,0.2723195164071803,temp-v1_3c-m030-freezer_air-vs-swimming_pool_water,cold,0.0,warm_cold,0.8750575332767099,0.02873132265122186,0.05116590561182151,0.045045238460246974,"For swimming-pool water, normal is 27 degrees Celsius. Compared to that, -30 degrees Celsius is",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_3_c,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,Celsius,-30
bath water,freezer air,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,0.6520620571634208,cold,0.0,False,False,-4.8074631690979,-7.994482517242432,-7.24323034286499,-7.2612690925598145,2.43576717376709,0.39168713091200574,temp-v1_3c-m030-bath_water-vs-freezer_air,cold,0.0,warm_cold,0.8231867830830939,0.03399331136521393,0.07205400844340762,0.07076589710828447,"For bath water, normal is 38 degrees Celsius. Compared to that, -30 degrees Celsius is",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_3_c,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,Celsius,-30
bath water,freezer air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,0.5514517932532579,cool,1.0,False,False,-6.381761074066162,-8.757834434509277,-9.786940574645996,-9.589442253112793,-2.3760733604431152,0.2343784399568909,temp-v1_3c-m030-bath_water-vs-freezer_air,cold,0.0,warm_cold,0.8572169209641662,0.07964805707459617,0.028460338959819555,0.03467468300141804,"For freezer air, normal is -18 degrees Celsius. Compared to that, -30 degrees Celsius is",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_3_c,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,Celsius,-30
freezer air,freshly served tea,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,0.5514517932532579,cool,1.0,False,False,-6.381761074066162,-8.757834434509277,-9.786940574645996,-9.589442253112793,-2.3760733604431152,0.2343784399568909,temp-v1_3c-m030-freezer_air-vs-freshly_served_tea,cold,0.0,warm_cold,0.8572169209641662,0.07964805707459617,0.028460338959819555,0.03467468300141804,"For freezer air, normal is -18 degrees Celsius. Compared to that, -30 degrees Celsius is",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_3_c,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,Celsius,-30
freezer air,freshly served tea,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,0.9418437478335921,cold,0.0,False,False,-6.147590637207031,-8.129037857055664,-8.384627342224121,-7.779910087585449,1.632319450378418,0.5896344690859324,temp-v1_3c-m030-freezer_air-vs-freshly_served_tea,cold,0.0,warm_cold,0.6943867441243641,0.09573479855534041,0.07414275589000105,0.13573570143029445,"For freshly served tea, normal is 80 degrees Celsius. Compared to that, -30 degrees Celsius is",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_3_c,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,Celsius,-30
freezer air,heated oven air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,0.5514517932532579,cool,1.0,False,False,-6.381761074066162,-8.757834434509277,-9.786940574645996,-9.589442253112793,-2.3760733604431152,0.2343784399568909,temp-v1_3c-m030-freezer_air-vs-heated_oven_air,cold,0.0,warm_cold,0.8572169209641662,0.07964805707459617,0.028460338959819555,0.03467468300141804,"For freezer air, normal is -18 degrees Celsius. Compared to that, -30 degrees Celsius is",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_3_c,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,Celsius,-30
freezer air,heated oven air,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,1.140659846494196,cold,0.0,False,False,-5.539120674133301,-8.202109336853027,-5.677774429321289,-6.428664207458496,0.13865375518798828,1.489939216881723,temp-v1_3c-m030-freezer_air-vs-heated_oven_air,cold,0.0,warm_cold,0.4253306301666756,0.02966233790458949,0.37026281511966347,0.1747442168090715,"For heated oven air, normal is 180 degrees Celsius. Compared to that, -30 degrees Celsius is",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_3_c,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,Celsius,-30
room air,freezer air,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,1.0547930747186276,cold,0.0,False,False,-6.303123950958252,-8.702603340148926,-7.676908016204834,-7.557936191558838,1.254812240600586,0.871963884809988,temp-v1_3c-m010-room_air-vs-freezer_air,cold,0.0,warm_cold,0.6138577933399485,0.05571692190503647,0.1553963933949216,0.17502889136009353,"For room air, normal is 21 degrees Celsius. Compared to that, -10 degrees Celsius is",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_3_c,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,Celsius,-10
