a_expected_label,a_prompt,b_expected_label,b_prompt,comparison_a,comparison_b,control_type,delta_a,delta_b,design,dimension,is_artificial_norm,is_borderline,pair_id,predicate_family,scale_type,source,standard_a,standard_b,standard_type,target,type,unit,value
cool,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of -30 degrees Celsius feels",cold,"The normal temperature for room air is 21 degrees Celsius. Compared only to that 21-degree baseline for room air, a temperature of -30 degrees Celsius feels",freezer air,room air,standard_explicit,-12,-51,same_scalar_different_explicit_standard,temperature,False,False,temp-v1_1-m030-freezer_air-vs-room_air,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_1,-18,21,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,celsius,-30
cool,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of -30 degrees Celsius feels",cold,"The normal temperature for swimming-pool water is 27 degrees Celsius. Compared only to that 27-degree baseline for swimming-pool water, a temperature of -30 degrees Celsius feels",freezer air,swimming-pool water,standard_explicit,-12,-57,same_scalar_different_explicit_standard,temperature,False,False,temp-v1_1-m030-freezer_air-vs-swimming_pool_water,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_1,-18,27,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,celsius,-30
cool,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of -30 degrees Celsius feels",cold,"The normal temperature for bath water is 38 degrees Celsius. Compared only to that 38-degree baseline for bath water, a temperature of -30 degrees Celsius feels",freezer air,bath water,standard_explicit,-12,-68,same_scalar_different_explicit_standard,temperature,False,False,temp-v1_1-m030-freezer_air-vs-bath_water,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_1,-18,38,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,celsius,-30
cool,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of -30 degrees Celsius feels",cold,"The normal temperature for freshly served tea is 80 degrees Celsius. Compared only to that 80-degree baseline for freshly served tea, a temperature of -30 degrees Celsius feels",freezer air,freshly served tea,standard_explicit,-12,-110,same_scalar_different_explicit_standard,temperature,False,False,temp-v1_1-m030-freezer_air-vs-freshly_served_tea,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_1,-18,80,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,celsius,-30
cool,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of -30 degrees Celsius feels",cold,"The normal temperature for heated oven air is 180 degrees Celsius. Compared only to that 180-degree baseline for heated oven air, a temperature of -30 degrees Celsius feels",freezer air,heated oven air,standard_explicit,-12,-210,same_scalar_different_explicit_standard,temperature,False,False,temp-v1_1-m030-freezer_air-vs-heated_oven_air,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_1,-18,180,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,celsius,-30
warm,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of -10 degrees Celsius feels",cold,"The normal temperature for room air is 21 degrees Celsius. Compared only to that 21-degree baseline for room air, a temperature of -10 degrees Celsius feels",freezer air,room air,standard_explicit,8,-31,same_scalar_different_explicit_standard,temperature,False,False,temp-v1_1-m010-freezer_air-vs-room_air,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_1,-18,21,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,celsius,-10
warm,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of -10 degrees Celsius feels",cold,"The normal temperature for swimming-pool water is 27 degrees Celsius. Compared only to that 27-degree baseline for swimming-pool water, a temperature of -10 degrees Celsius feels",freezer air,swimming-pool water,standard_explicit,8,-37,same_scalar_different_explicit_standard,temperature,False,False,temp-v1_1-m010-freezer_air-vs-swimming_pool_water,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_1,-18,27,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,celsius,-10
warm,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of -10 degrees Celsius feels",cold,"The normal temperature for bath water is 38 degrees Celsius. Compared only to that 38-degree baseline for bath water, a temperature of -10 degrees Celsius feels",freezer air,bath water,standard_explicit,8,-48,same_scalar_different_explicit_standard,temperature,False,False,temp-v1_1-m010-freezer_air-vs-bath_water,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_1,-18,38,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,celsius,-10
warm,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of -10 degrees Celsius feels",cold,"The normal temperature for freshly served tea is 80 degrees Celsius. Compared only to that 80-degree baseline for freshly served tea, a temperature of -10 degrees Celsius feels",freezer air,freshly served tea,standard_explicit,8,-90,same_scalar_different_explicit_standard,temperature,False,False,temp-v1_1-m010-freezer_air-vs-freshly_served_tea,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_1,-18,80,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,celsius,-10
warm,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of -10 degrees Celsius feels",cold,"The normal temperature for heated oven air is 180 degrees Celsius. Compared only to that 180-degree baseline for heated oven air, a temperature of -10 degrees Celsius feels",freezer air,heated oven air,standard_explicit,8,-190,same_scalar_different_explicit_standard,temperature,False,False,temp-v1_1-m010-freezer_air-vs-heated_oven_air,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_1,-18,180,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,celsius,-10
