a_expected_label,a_prompt,b_expected_label,b_prompt,comparison_a,comparison_b,control_type,design,dimension,is_artificial_norm,is_borderline,pair_flipped,pair_id,pair_orientation_base_key,paraphrase,predicate_family,ratio_a,ratio_b,scale_type,source,standard_a,standard_b,standard_type,target,type,unit,value
huge,"For an ant, a typical body length is 1 centimeters. Relative to that 1-centimeter reference, a body length of 3 centimeters is best described as",tiny,"For a house mouse, a typical body length is 9 centimeters. Relative to that 9-centimeter reference, a body length of 3 centimeters is best described as",an ant,a house mouse,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,False,False,False,size-v1_3a-p0003-an_ant-vs-a_house_mouse,size-v1_3a-p0003-an_ant-vs-a_house_mouse,a,tiny_huge,3.0,0.3333333333333333,relative_open_size,bierwisch_kennedy_size_v1_3_a,1,9,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
tiny,"For a domestic cat, a typical body length is 46 centimeters. Relative to that 46-centimeter reference, a body length of 3 centimeters is best described as",huge,"For an ant, a typical body length is 1 centimeters. Relative to that 1-centimeter reference, a body length of 3 centimeters is best described as",a domestic cat,an ant,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,False,False,True,size-v1_3a-p0003-a_domestic_cat-vs-an_ant,size-v1_3a-p0003-an_ant-vs-a_domestic_cat,a,tiny_huge,0.06521739130434782,3.0,relative_open_size,bierwisch_kennedy_size_v1_3_a,46,1,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
huge,"For an ant, a typical body length is 1 centimeters. Relative to that 1-centimeter reference, a body length of 3 centimeters is best described as",tiny,"For a labrador dog, a typical body length is 60 centimeters. Relative to that 60-centimeter reference, a body length of 3 centimeters is best described as",an ant,a labrador dog,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,False,False,False,size-v1_3a-p0003-an_ant-vs-a_labrador_dog,size-v1_3a-p0003-an_ant-vs-a_labrador_dog,a,tiny_huge,3.0,0.05,relative_open_size,bierwisch_kennedy_size_v1_3_a,1,60,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
tiny,"For an adult human, a typical body length is 170 centimeters. Relative to that 170-centimeter reference, a body length of 3 centimeters is best described as",huge,"For an ant, a typical body length is 1 centimeters. Relative to that 1-centimeter reference, a body length of 3 centimeters is best described as",an adult human,an ant,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,False,False,True,size-v1_3a-p0003-an_adult_human-vs-an_ant,size-v1_3a-p0003-an_ant-vs-an_adult_human,a,tiny_huge,0.01764705882352941,3.0,relative_open_size,bierwisch_kennedy_size_v1_3_a,170,1,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
tiny,"For an african elephant, a typical body length is 350 centimeters. Relative to that 350-centimeter reference, a body length of 3 centimeters is best described as",huge,"For an ant, a typical body length is 1 centimeters. Relative to that 1-centimeter reference, a body length of 3 centimeters is best described as",an african elephant,an ant,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,False,False,True,size-v1_3a-p0003-an_african_elephant-vs-an_ant,size-v1_3a-p0003-an_ant-vs-an_african_elephant,a,tiny_huge,0.008571428571428572,3.0,relative_open_size,bierwisch_kennedy_size_v1_3_a,350,1,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
tiny,"For a domestic cat, a typical body length is 46 centimeters. Relative to that 46-centimeter reference, a body length of 8 centimeters is best described as",huge,"For an ant, a typical body length is 1 centimeters. Relative to that 1-centimeter reference, a body length of 8 centimeters is best described as",a domestic cat,an ant,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,False,False,True,size-v1_3a-p0008-a_domestic_cat-vs-an_ant,size-v1_3a-p0008-an_ant-vs-a_domestic_cat,a,tiny_huge,0.17391304347826086,8.0,relative_open_size,bierwisch_kennedy_size_v1_3_a,46,1,comparison_class_explicit,8 centimeters,gradable_scalar,centimeters,8
tiny,"For a labrador dog, a typical body length is 60 centimeters. Relative to that 60-centimeter reference, a body length of 8 centimeters is best described as",huge,"For an ant, a typical body length is 1 centimeters. Relative to that 1-centimeter reference, a body length of 8 centimeters is best described as",a labrador dog,an ant,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,False,False,True,size-v1_3a-p0008-a_labrador_dog-vs-an_ant,size-v1_3a-p0008-an_ant-vs-a_labrador_dog,a,tiny_huge,0.13333333333333333,8.0,relative_open_size,bierwisch_kennedy_size_v1_3_a,60,1,comparison_class_explicit,8 centimeters,gradable_scalar,centimeters,8
tiny,"For an adult human, a typical body length is 170 centimeters. Relative to that 170-centimeter reference, a body length of 8 centimeters is best described as",huge,"For an ant, a typical body length is 1 centimeters. Relative to that 1-centimeter reference, a body length of 8 centimeters is best described as",an adult human,an ant,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,False,False,True,size-v1_3a-p0008-an_adult_human-vs-an_ant,size-v1_3a-p0008-an_ant-vs-an_adult_human,a,tiny_huge,0.047058823529411764,8.0,relative_open_size,bierwisch_kennedy_size_v1_3_a,170,1,comparison_class_explicit,8 centimeters,gradable_scalar,centimeters,8
huge,"For an ant, a typical body length is 1 centimeters. Relative to that 1-centimeter reference, a body length of 8 centimeters is best described as",tiny,"For an african elephant, a typical body length is 350 centimeters. Relative to that 350-centimeter reference, a body length of 8 centimeters is best described as",an ant,an african elephant,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,False,False,False,size-v1_3a-p0008-an_ant-vs-an_african_elephant,size-v1_3a-p0008-an_ant-vs-an_african_elephant,a,tiny_huge,8.0,0.022857142857142857,relative_open_size,bierwisch_kennedy_size_v1_3_a,1,350,comparison_class_explicit,8 centimeters,gradable_scalar,centimeters,8
huge,"For an ant, a typical body length is 1 centimeters. Relative to that 1-centimeter reference, a body length of 15 centimeters is best described as",large,"For a house mouse, a typical body length is 9 centimeters. Relative to that 9-centimeter reference, a body length of 15 centimeters is best described as",an ant,a house mouse,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,False,False,False,size-v1_3a-p0015-an_ant-vs-a_house_mouse,size-v1_3a-p0015-an_ant-vs-a_house_mouse,a,tiny_huge,15.0,1.6666666666666667,relative_open_size,bierwisch_kennedy_size_v1_3_a,1,9,comparison_class_explicit,15 centimeters,gradable_scalar,centimeters,15
huge,"For an ant, a typical body length is 1 centimeters. Relative to that 1-centimeter reference, a body length of 15 centimeters is best described as",tiny,"For a domestic cat, a typical body length is 46 centimeters. Relative to that 46-centimeter reference, a body length of 15 centimeters is best described as",an ant,a domestic cat,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,False,False,False,size-v1_3a-p0015-an_ant-vs-a_domestic_cat,size-v1_3a-p0015-an_ant-vs-a_domestic_cat,a,tiny_huge,15.0,0.32608695652173914,relative_open_size,bierwisch_kennedy_size_v1_3_a,1,46,comparison_class_explicit,15 centimeters,gradable_scalar,centimeters,15
tiny,"For a labrador dog, a typical body length is 60 centimeters. Relative to that 60-centimeter reference, a body length of 15 centimeters is best described as",huge,"For an ant, a typical body length is 1 centimeters. Relative to that 1-centimeter reference, a body length of 15 centimeters is best described as",a labrador dog,an ant,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,False,False,True,size-v1_3a-p0015-a_labrador_dog-vs-an_ant,size-v1_3a-p0015-an_ant-vs-a_labrador_dog,a,tiny_huge,0.25,15.0,relative_open_size,bierwisch_kennedy_size_v1_3_a,60,1,comparison_class_explicit,15 centimeters,gradable_scalar,centimeters,15
tiny,"For an adult human, a typical body length is 170 centimeters. Relative to that 170-centimeter reference, a body length of 15 centimeters is best described as",huge,"For an ant, a typical body length is 1 centimeters. Relative to that 1-centimeter reference, a body length of 15 centimeters is best described as",an adult human,an ant,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,False,False,True,size-v1_3a-p0015-an_adult_human-vs-an_ant,size-v1_3a-p0015-an_ant-vs-an_adult_human,a,tiny_huge,0.08823529411764706,15.0,relative_open_size,bierwisch_kennedy_size_v1_3_a,170,1,comparison_class_explicit,15 centimeters,gradable_scalar,centimeters,15
tiny,"For an african elephant, a typical body length is 350 centimeters. Relative to that 350-centimeter reference, a body length of 15 centimeters is best described as",huge,"For an ant, a typical body length is 1 centimeters. Relative to that 1-centimeter reference, a body length of 15 centimeters is best described as",an african elephant,an ant,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,False,False,True,size-v1_3a-p0015-an_african_elephant-vs-an_ant,size-v1_3a-p0015-an_ant-vs-an_african_elephant,a,tiny_huge,0.04285714285714286,15.0,relative_open_size,bierwisch_kennedy_size_v1_3_a,350,1,comparison_class_explicit,15 centimeters,gradable_scalar,centimeters,15
tiny,"For a domestic cat, a typical body length is 46 centimeters. Relative to that 46-centimeter reference, a body length of 15 centimeters is best described as",large,"For a house mouse, a typical body length is 9 centimeters. Relative to that 9-centimeter reference, a body length of 15 centimeters is best described as",a domestic cat,a house mouse,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,False,False,True,size-v1_3a-p0015-a_domestic_cat-vs-a_house_mouse,size-v1_3a-p0015-a_house_mouse-vs-a_domestic_cat,a,tiny_huge,0.32608695652173914,1.6666666666666667,relative_open_size,bierwisch_kennedy_size_v1_3_a,46,9,comparison_class_explicit,15 centimeters,gradable_scalar,centimeters,15
large,"For a house mouse, a typical body length is 9 centimeters. Relative to that 9-centimeter reference, a body length of 15 centimeters is best described as",tiny,"For a labrador dog, a typical body length is 60 centimeters. Relative to that 60-centimeter reference, a body length of 15 centimeters is best described as",a house mouse,a labrador dog,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,False,False,False,size-v1_3a-p0015-a_house_mouse-vs-a_labrador_dog,size-v1_3a-p0015-a_house_mouse-vs-a_labrador_dog,a,tiny_huge,1.6666666666666667,0.25,relative_open_size,bierwisch_kennedy_size_v1_3_a,9,60,comparison_class_explicit,15 centimeters,gradable_scalar,centimeters,15
tiny,"For an adult human, a typical body length is 170 centimeters. Relative to that 170-centimeter reference, a body length of 15 centimeters is best described as",large,"For a house mouse, a typical body length is 9 centimeters. Relative to that 9-centimeter reference, a body length of 15 centimeters is best described as",an adult human,a house mouse,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,False,False,True,size-v1_3a-p0015-an_adult_human-vs-a_house_mouse,size-v1_3a-p0015-a_house_mouse-vs-an_adult_human,a,tiny_huge,0.08823529411764706,1.6666666666666667,relative_open_size,bierwisch_kennedy_size_v1_3_a,170,9,comparison_class_explicit,15 centimeters,gradable_scalar,centimeters,15
tiny,"For an african elephant, a typical body length is 350 centimeters. Relative to that 350-centimeter reference, a body length of 15 centimeters is best described as",large,"For a house mouse, a typical body length is 9 centimeters. Relative to that 9-centimeter reference, a body length of 15 centimeters is best described as",an african elephant,a house mouse,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,False,False,True,size-v1_3a-p0015-an_african_elephant-vs-a_house_mouse,size-v1_3a-p0015-a_house_mouse-vs-an_african_elephant,a,tiny_huge,0.04285714285714286,1.6666666666666667,relative_open_size,bierwisch_kennedy_size_v1_3_a,350,9,comparison_class_explicit,15 centimeters,gradable_scalar,centimeters,15
small,"For a domestic cat, a typical body length is 46 centimeters. Relative to that 46-centimeter reference, a body length of 25 centimeters is best described as",huge,"For an ant, a typical body length is 1 centimeters. Relative to that 1-centimeter reference, a body length of 25 centimeters is best described as",a domestic cat,an ant,standard_explicit,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,size,False,False,True,size-v1_3a-p0025-a_domestic_cat-vs-an_ant,size-v1_3a-p0025-an_ant-vs-a_domestic_cat,a,tiny_huge,0.5434782608695652,25.0,relative_open_size,bierwisch_kennedy_size_v1_3_a,46,1,comparison_class_explicit,25 centimeters,gradable_scalar,centimeters,25
