a_expected_label,a_prompt,b_expected_label,b_prompt,comparison_a,comparison_b,control_type,design,dimension,is_artificial_norm,is_borderline,pair_id,predicate_family,ratio_a,ratio_b,scale_type,source,standard_a,standard_b,standard_type,target,type,unit,value
old,"The normal lifespan for a domestic mouse is 2 years. Compared only to that 2-year baseline for a domestic mouse, an individual aged 3 years feels",youthful,"The normal lifespan for a domestic dog is 12 years. Compared only to that 12-year baseline for a domestic dog, an individual aged 3 years feels",a domestic mouse,a domestic dog,standard_explicit,same_scalar_different_explicit_standard,age,False,False,age-v1_1-p0003-a_domestic_mouse-vs-a_domestic_dog,young_old,1.5,0.25,relative_open_age,bierwisch_kennedy_age_v1_1,2,12,comparison_class_explicit,3 years,gradable_scalar,years,3
old,"The normal lifespan for a domestic mouse is 2 years. Compared only to that 2-year baseline for a domestic mouse, an individual aged 3 years feels",young,"The normal lifespan for a horse is 28 years. Compared only to that 28-year baseline for a horse, an individual aged 3 years feels",a domestic mouse,a horse,standard_explicit,same_scalar_different_explicit_standard,age,False,False,age-v1_1-p0003-a_domestic_mouse-vs-a_horse,young_old,1.5,0.10714285714285714,relative_open_age,bierwisch_kennedy_age_v1_1,2,28,comparison_class_explicit,3 years,gradable_scalar,years,3
old,"The normal lifespan for a domestic mouse is 2 years. Compared only to that 2-year baseline for a domestic mouse, an individual aged 3 years feels",young,"The normal lifespan for a human is 80 years. Compared only to that 80-year baseline for a human, an individual aged 3 years feels",a domestic mouse,a human,standard_explicit,same_scalar_different_explicit_standard,age,False,False,age-v1_1-p0003-a_domestic_mouse-vs-a_human,young_old,1.5,0.0375,relative_open_age,bierwisch_kennedy_age_v1_1,2,80,comparison_class_explicit,3 years,gradable_scalar,years,3
old,"The normal lifespan for a domestic mouse is 2 years. Compared only to that 2-year baseline for a domestic mouse, an individual aged 3 years feels",young,"The normal lifespan for a galapagos tortoise is 150 years. Compared only to that 150-year baseline for a galapagos tortoise, an individual aged 3 years feels",a domestic mouse,a galapagos tortoise,standard_explicit,same_scalar_different_explicit_standard,age,False,False,age-v1_1-p0003-a_domestic_mouse-vs-a_galapagos_tortoise,young_old,1.5,0.02,relative_open_age,bierwisch_kennedy_age_v1_1,2,150,comparison_class_explicit,3 years,gradable_scalar,years,3
old,"The normal lifespan for a domestic mouse is 2 years. Compared only to that 2-year baseline for a domestic mouse, an individual aged 3 years feels",young,"The normal lifespan for a bowhead whale is 200 years. Compared only to that 200-year baseline for a bowhead whale, an individual aged 3 years feels",a domestic mouse,a bowhead whale,standard_explicit,same_scalar_different_explicit_standard,age,False,False,age-v1_1-p0003-a_domestic_mouse-vs-a_bowhead_whale,young_old,1.5,0.015,relative_open_age,bierwisch_kennedy_age_v1_1,2,200,comparison_class_explicit,3 years,gradable_scalar,years,3
youthful,"The normal lifespan for a domestic dog is 12 years. Compared only to that 12-year baseline for a domestic dog, an individual aged 3 years feels",young,"The normal lifespan for a horse is 28 years. Compared only to that 28-year baseline for a horse, an individual aged 3 years feels",a domestic dog,a horse,standard_explicit,same_scalar_different_explicit_standard,age,False,False,age-v1_1-p0003-a_domestic_dog-vs-a_horse,young_old,0.25,0.10714285714285714,relative_open_age,bierwisch_kennedy_age_v1_1,12,28,comparison_class_explicit,3 years,gradable_scalar,years,3
youthful,"The normal lifespan for a domestic dog is 12 years. Compared only to that 12-year baseline for a domestic dog, an individual aged 3 years feels",young,"The normal lifespan for a human is 80 years. Compared only to that 80-year baseline for a human, an individual aged 3 years feels",a domestic dog,a human,standard_explicit,same_scalar_different_explicit_standard,age,False,False,age-v1_1-p0003-a_domestic_dog-vs-a_human,young_old,0.25,0.0375,relative_open_age,bierwisch_kennedy_age_v1_1,12,80,comparison_class_explicit,3 years,gradable_scalar,years,3
youthful,"The normal lifespan for a domestic dog is 12 years. Compared only to that 12-year baseline for a domestic dog, an individual aged 3 years feels",young,"The normal lifespan for a galapagos tortoise is 150 years. Compared only to that 150-year baseline for a galapagos tortoise, an individual aged 3 years feels",a domestic dog,a galapagos tortoise,standard_explicit,same_scalar_different_explicit_standard,age,False,False,age-v1_1-p0003-a_domestic_dog-vs-a_galapagos_tortoise,young_old,0.25,0.02,relative_open_age,bierwisch_kennedy_age_v1_1,12,150,comparison_class_explicit,3 years,gradable_scalar,years,3
youthful,"The normal lifespan for a domestic dog is 12 years. Compared only to that 12-year baseline for a domestic dog, an individual aged 3 years feels",young,"The normal lifespan for a bowhead whale is 200 years. Compared only to that 200-year baseline for a bowhead whale, an individual aged 3 years feels",a domestic dog,a bowhead whale,standard_explicit,same_scalar_different_explicit_standard,age,False,False,age-v1_1-p0003-a_domestic_dog-vs-a_bowhead_whale,young_old,0.25,0.015,relative_open_age,bierwisch_kennedy_age_v1_1,12,200,comparison_class_explicit,3 years,gradable_scalar,years,3
old,"The normal lifespan for a domestic mouse is 2 years. Compared only to that 2-year baseline for a domestic mouse, an individual aged 6 years feels",youthful,"The normal lifespan for a horse is 28 years. Compared only to that 28-year baseline for a horse, an individual aged 6 years feels",a domestic mouse,a horse,standard_explicit,same_scalar_different_explicit_standard,age,False,False,age-v1_1-p0006-a_domestic_mouse-vs-a_horse,young_old,3.0,0.21428571428571427,relative_open_age,bierwisch_kennedy_age_v1_1,2,28,comparison_class_explicit,6 years,gradable_scalar,years,6
