abs_observed_ordered_shift,both_correct,comparison_a,comparison_b,correct_a,correct_b,entropy_a,entropy_b,expected_a,expected_b,expected_shift,margin_a,margin_b,observed_ordered_shift,pair_id,pred_a,pred_b,pred_shift,shift_direction_match,target,value
0.21617578019790795,0,ant-like objects in the toy lab,elephant-like objects in the toy lab,0,1,0.864333287032663,0.44960143581335466,tiny,small,1.0,-2.235818386077881,2.3400707244873047,-0.21617578019790795,size-v2-artificial-p0025-ant_like_objects_in_the_toy_lab-vs-elephant_like_objects_in_the_toy_lab,small,small,0.0,0,25 centimeters,25
0.26321039471931884,0,elephant-like objects in the toy lab,mouse-like objects in the toy lab,1,0,0.44960143581335466,0.8559252749396561,small,tiny,-1.0,2.3400707244873047,-2.5171937942504883,0.26321039471931884,size-v2-artificial-p0025-elephant_like_objects_in_the_toy_lab-vs-mouse_like_objects_in_the_toy_lab,small,small,0.0,0,25 centimeters,25
0.1892183722977453,0,elephant-like objects in the toy lab,human-like objects in the toy lab,1,0,0.44960143581335466,0.8304084368660526,small,tiny,-1.0,2.3400707244873047,-2.18723726272583,0.1892183722977453,size-v2-artificial-p0025-elephant_like_objects_in_the_toy_lab-vs-human_like_objects_in_the_toy_lab,small,small,0.0,0,25 centimeters,25
0.14239772728980404,0,human-like objects in the toy lab,ant-like objects in the toy lab,1,0,0.9153225123025838,1.0124133903137085,small,tiny,-1.0,0.7105073928833008,-2.5804643630981445,0.14239772728980404,size-v2-artificial-p0040-human_like_objects_in_the_toy_lab-vs-ant_like_objects_in_the_toy_lab,small,small,0.0,0,40 centimeters,40
0.12679591010826097,0,ant-like objects in the toy lab,elephant-like objects in the toy lab,0,0,1.0124133903137085,1.1273265790437998,tiny,large,2.0,-2.5804643630981445,-0.0687408447265625,0.12679591010826097,size-v2-artificial-p0040-ant_like_objects_in_the_toy_lab-vs-elephant_like_objects_in_the_toy_lab,small,small,0.0,1,40 centimeters,40
0.007932500786022922,0,human-like objects in the toy lab,mouse-like objects in the toy lab,1,0,0.9153225123025838,0.9184422240367549,small,tiny,-1.0,0.7105073928833008,-2.4274940490722656,-0.007932500786022922,size-v2-artificial-p0040-human_like_objects_in_the_toy_lab-vs-mouse_like_objects_in_the_toy_lab,small,small,0.0,1,40 centimeters,40
0.27712613818408793,0,elephant-like objects in the toy lab,mouse-like objects in the toy lab,0,0,1.1273265790437998,0.9184422240367549,large,tiny,-2.0,-0.0687408447265625,-2.4274940490722656,-0.27712613818408793,size-v2-artificial-p0040-elephant_like_objects_in_the_toy_lab-vs-mouse_like_objects_in_the_toy_lab,small,small,0.0,1,40 centimeters,40
0.269193637398065,0,elephant-like objects in the toy lab,human-like objects in the toy lab,0,1,1.1273265790437998,0.9153225123025838,large,small,-1.0,-0.0687408447265625,0.7105073928833008,-0.269193637398065,size-v2-artificial-p0040-elephant_like_objects_in_the_toy_lab-vs-human_like_objects_in_the_toy_lab,small,small,0.0,1,40 centimeters,40
0.4064304505486742,0,ant-like objects in the toy lab,elephant-like objects in the toy lab,0,0,0.9992717031821025,1.2227994273872194,tiny,huge,3.0,-2.1426048278808594,-0.823582649230957,0.4064304505486742,size-v2-artificial-p0060-ant_like_objects_in_the_toy_lab-vs-elephant_like_objects_in_the_toy_lab,small,large,1.0,1,60 centimeters,60
0.632161922742686,0,mouse-like objects in the toy lab,elephant-like objects in the toy lab,0,0,0.6909530703085862,1.2227994273872194,tiny,huge,3.0,-2.2816810607910156,-0.823582649230957,0.632161922742686,size-v2-artificial-p0060-mouse_like_objects_in_the_toy_lab-vs-elephant_like_objects_in_the_toy_lab,small,large,1.0,1,60 centimeters,60
0.15685592071402232,0,ant-like objects in the toy lab,mouse-like objects in the toy lab,0,1,0.8970957963651197,0.7098816150957645,tiny,small,1.0,-2.6651382446289062,1.8520841598510742,-0.15685592071402232,size-v2-artificial-p0090-ant_like_objects_in_the_toy_lab-vs-mouse_like_objects_in_the_toy_lab,small,small,0.0,0,90 centimeters,90
0.4053548243061984,0,human-like objects in the toy lab,ant-like objects in the toy lab,1,0,0.906220228121178,0.8970957963651197,large,tiny,-2.0,0.6491794586181641,-2.6651382446289062,-0.4053548243061984,size-v2-artificial-p0090-human_like_objects_in_the_toy_lab-vs-ant_like_objects_in_the_toy_lab,large,small,-1.0,1,90 centimeters,90
0.21622725777581486,0,elephant-like objects in the toy lab,ant-like objects in the toy lab,0,0,1.1716708998270728,0.8970957963651197,huge,tiny,-3.0,-1.2693824768066406,-2.6651382446289062,-0.21622725777581486,size-v2-artificial-p0090-elephant_like_objects_in_the_toy_lab-vs-ant_like_objects_in_the_toy_lab,small,small,0.0,1,90 centimeters,90
0.5622107450202207,1,mouse-like objects in the toy lab,human-like objects in the toy lab,1,1,0.7098816150957645,0.906220228121178,small,large,1.0,1.8520841598510742,0.6491794586181641,0.5622107450202207,size-v2-artificial-p0090-mouse_like_objects_in_the_toy_lab-vs-human_like_objects_in_the_toy_lab,small,large,1.0,1,90 centimeters,90
0.3730831784898372,0,elephant-like objects in the toy lab,mouse-like objects in the toy lab,0,1,1.1716708998270728,0.7098816150957645,huge,small,-2.0,-1.2693824768066406,1.8520841598510742,-0.3730831784898372,size-v2-artificial-p0090-elephant_like_objects_in_the_toy_lab-vs-mouse_like_objects_in_the_toy_lab,small,small,0.0,1,90 centimeters,90
0.18912756653038354,0,human-like objects in the toy lab,elephant-like objects in the toy lab,1,0,0.906220228121178,1.1716708998270728,large,huge,1.0,0.6491794586181641,-1.2693824768066406,-0.18912756653038354,size-v2-artificial-p0090-human_like_objects_in_the_toy_lab-vs-elephant_like_objects_in_the_toy_lab,large,small,-1.0,0,90 centimeters,90
